wavelength_nm,n,k,region,quality_flag
585,1.515,0.0,aligned_derived,medium_confidence
586,1.515,0.0,aligned_derived,medium_confidence
587,1.515,0.0,aligned_derived,medium_confidence
588,1.515,0.0,aligned_derived,medium_confidence
589,1.515,0.0,aligned_derived,medium_confidence
590,1.515,0.0,aligned_derived,medium_confidence
591,1.515,0.0,aligned_derived,medium_confidence
592,1.515,0.0,aligned_derived,medium_confidence
593,1.515,0.0,aligned_derived,medium_confidence
594,1.515,0.0,aligned_derived,medium_confidence
595,1.515,0.0,aligned_derived,medium_confidence
596,1.515,0.0,aligned_derived,medium_confidence
597,1.515,0.0,aligned_derived,medium_confidence
598,1.515,0.0,aligned_derived,medium_confidence
599,1.515,0.0,aligned_derived,medium_confidence
600,1.515,0.0,aligned_derived,medium_confidence
601,1.515,0.0,aligned_derived,medium_confidence
602,1.515,0.0,aligned_derived,medium_confidence
603,1.515,0.0,aligned_derived,medium_confidence
604,1.515,0.0,aligned_derived,medium_confidence
605,1.515,0.0,aligned_derived,medium_confidence
606,1.515,0.0,aligned_derived,medium_confidence
607,1.515,0.0,aligned_derived,medium_confidence
608,1.515,0.0,aligned_derived,medium_confidence
609,1.515,0.0,aligned_derived,medium_confidence
610,1.515,0.0,aligned_derived,medium_confidence
611,1.515,0.0,aligned_derived,medium_confidence
612,1.515,0.0,aligned_derived,medium_confidence
613,1.515,0.0,aligned_derived,medium_confidence
614,1.515,0.0,aligned_derived,medium_confidence
615,1.515,0.0,aligned_derived,medium_confidence
616,1.515,0.0,aligned_derived,medium_confidence
617,1.515,0.0,aligned_derived,medium_confidence
618,1.515,0.0,aligned_derived,medium_confidence
619,1.515,0.0,aligned_derived,medium_confidence
620,1.515,0.0,aligned_derived,medium_confidence
621,1.515,0.0,aligned_derived,medium_confidence
622,1.515,0.0,aligned_derived,medium_confidence
623,1.515,0.0,aligned_derived,medium_confidence
624,1.515,0.0,aligned_derived,medium_confidence
625,1.515,0.0,aligned_derived,medium_confidence
626,1.515,0.0,aligned_derived,medium_confidence
627,1.515,0.0,aligned_derived,medium_confidence
628,1.515,0.0,aligned_derived,medium_confidence
629,1.515,0.0,aligned_derived,medium_confidence
630,1.515,0.0,aligned_derived,medium_confidence
631,1.515,0.0,aligned_derived,medium_confidence
632,1.515,0.0,aligned_derived,medium_confidence
633,1.515,0.0,aligned_derived,medium_confidence
634,1.515,0.0,aligned_derived,medium_confidence
635,1.515,0.0,aligned_derived,medium_confidence
636,1.515,0.0,aligned_derived,medium_confidence
637,1.515,0.0,aligned_derived,medium_confidence
638,1.515,0.0,aligned_derived,medium_confidence
639,1.515,0.0,aligned_derived,medium_confidence
640,1.515,0.0,aligned_derived,medium_confidence
641,1.515,0.0,aligned_derived,medium_confidence
642,1.515,0.0,aligned_derived,medium_confidence
643,1.515,0.0,aligned_derived,medium_confidence
644,1.515,0.0,aligned_derived,medium_confidence
645,1.515,0.0,aligned_derived,medium_confidence
646,1.515,0.0,aligned_derived,medium_confidence
647,1.515,0.0,aligned_derived,medium_confidence
648,1.515,0.0,aligned_derived,medium_confidence
649,1.515,0.0,aligned_derived,medium_confidence
650,1.515,0.0,aligned_derived,medium_confidence
651,1.515,0.0,aligned_derived,medium_confidence
652,1.515,0.0,aligned_derived,medium_confidence
653,1.515,0.0,aligned_derived,medium_confidence
654,1.515,0.0,aligned_derived,medium_confidence
655,1.515,0.0,aligned_derived,medium_confidence
656,1.515,0.0,aligned_derived,medium_confidence
657,1.515,0.0,aligned_derived,medium_confidence
658,1.515,0.0,aligned_derived,medium_confidence
