d_PVK_nm,R_total_peak_nm,R_total_valley_nm,R_total_peak_valley_spacing_nm,R_stack_peak_nm,R_stack_valley_nm,R_stack_peak_valley_spacing_nm,R_total_850nm,R_stack_850nm,R_total_900nm,R_stack_900nm,R_total_950nm,R_stack_950nm,R_total_1000nm,R_stack_1000nm,R_total_1050nm,R_stack_1050nm
550.0,1008.0,869.0,139.0,1008.0,869.0,139.0,0.5503583531340196,0.5413321169205206,0.5596428268222716,0.5509890875752794,0.6811924741514745,0.6766811774879548,0.822020674638294,0.8206234149102745,0.759588468418873,0.7570319656388599
555.0,1014.0,876.0,138.0,1014.0,876.0,138.0,0.5621721674806099,0.5536185196004543,0.5527823226621333,0.5438541092550143,0.6608772048818762,0.6557680389452293,0.8171169689396734,0.8156413344380969,0.7787301878547126,0.7765664110416541
560.0,1021.0,883.0,138.0,1021.0,883.0,138.0,0.5776540244961313,0.5697001004628501,0.5477485904559717,0.5386162078703872,0.6415995656521586,0.6358881312003652,0.8077034541069168,0.8060713218258228,0.7964562168588253,0.7946266692183945
565.0,1028.0,890.0,138.0,1028.0,890.0,138.0,0.5967416342606925,0.5894965739383282,0.5446115624222135,0.5353507502976036,0.6237095713759226,0.6174087076478911,0.7942455815320129,0.7923758950963062,0.8121822944611964,0.8106256135373139
570.0,1034.0,897.0,137.0,1034.0,897.0,137.0,0.61902474332554,0.6125646642823553,0.5434576587214434,0.5341493757493488,0.6074503988988594,0.6005882970438678,0.7774066655651262,0.7752167980439442,0.8253154468303054,0.8239696362956288
575.0,1041.0,901.0,140.0,1041.0,901.0,140.0,0.6436325685288058,0.6379862561755102,0.5443907995736047,0.5351209149869626,0.5929817155180119,0.5855996851043227,0.7579770962829516,0.7553860237633968,0.8352902498709776,0.8340942737230859
580.0,1047.0,912.0,135.0,1047.0,912.0,135.0,0.6691863855040387,0.6643263157370654,0.5475306288439509,0.5383893525087987,0.5804017547053864,0.5725519502695258,0.7367981345941707,0.7337308673233417,0.8416119447980227,0.8405063200822499
585.0,1054.0,918.0,136.0,1054.0,918.0,136.0,0.6938794927182096,0.6897224487930748,0.5530070735711162,0.5440879212081662,0.5697664580376192,0.5615097671868251,0.7146930476677965,0.7110854036932661,0.8439019149775705,0.8428281377031714
590.0,1060.0,925.0,135.0,1060.0,925.0,135.0,0.7157176190040492,0.7121360021028453,0.5609499113635634,0.5523479703322467,0.5611050956733372,0.5525092938854816,0.6924142194828328,0.6882170113657442,0.8419392280865671,0.8408381837207152
595.0,840.0,932.0,92.0,840.0,932.0,92.0,0.7328804541941496,0.7297206485562747,0.571471611046105,0.5632808613034961,0.554432412456175,0.5455706147544059,0.6706097303930775,0.6657916966722397,0.8356912220152738,0.8345010828254459
600.0,845.0,938.0,93.0,845.0,938.0,93.0,0.7440854351295695,0.7411865994606142,0.5846415271798421,0.5769510095712411,0.5497576438539064,0.5407070311813663,0.6498084890397093,0.6443576810812139,0.8253270250211011,0.8239813935698106
605.0,851.0,945.0,94.0,851.0,945.0,94.0,0.7488118440111322,0.74601967913796,0.6004498977762548,0.5933386472149166,0.5470908232234043,0.5379315875267008,0.6304202388919241,0.6243439217268119,0.8112105318503141,0.8096376333718701
610.0,856.0,951.0,95.0,856.0,951.0,95.0,0.7473071649891013,0.7444812602444082,0.6187615337383299,0.6122924494992896,0.5464467490081827,0.5372611802437162,0.6127457210358053,0.6060690784039511,0.7938731456283062,0.7919966535657159
615.0,861.0,957.0,96.0,861.0,957.0,96.0,0.7404049573583994,0.7374216559458764,0.639262220786068,0.633475446613248,0.54784685643215,0.5387184820671822,0.596992507502509,0.5897565397806073,0.7739704713832755,0.7717121286536448
620.0,866.0,964.0,98.0,866.0,964.0,98.0,0.7292566767745439,0.7260100359553324,0.6614060769735175,0.6563129540693843,0.5513190779528531,0.5423317577478637,0.583292935589954,0.575551932195289,0.752229954966519,0.7495136742148415
625.0,871.0,970.0,99.0,871.0,970.0,99.0,0.7150819302111605,0.7114841762116219,0.6843788859346904,0.6799579427279498,0.556895600096464,0.5481324746839514,0.5717216843272356,0.5635405826833385,0.7293974451893033,0.7261541997855163
630.0,876.0,976.0,100.0,876.0,976.0,100.0,0.6989959665064965,0.694977634337416,0.7070983428997951,0.703294795551701,0.5646082454731377,0.5561504373117783,0.5623115378453344,0.5537633878925328,0.7061897458037334,0.7023624100530451
635.0,882.0,982.0,100.0,882.0,982.0,100.0,0.6819233989201645,0.677432910178294,0.728272509035639,0.7250020793013952,0.5744810453874607,0.5664060182621491,0.5550666457092517,0.5462303084679816,0.6832579713247153,0.6788053492849504
640.0,887.0,989.0,102.0,887.0,989.0,102.0,0.6645782151035984,0.6595807798979454,0.7465271896922623,0.743683714692149,0.586519451519691,0.5788989555772782,0.5499730993266266,0.5409312335773352,0.6611637823511823,0.6560633127565116
645.0,892.0,995.0,103.0,892.0,995.0,103.0,0.6474829866507893,0.6419589734270839,0.7605898645680613,0.7580547271377335,0.6006956199647029,0.5935931912537296,0.5470069355872641,0.5378442723164804,0.6403681344737056,0.6346170697652886
650.0,897.0,1001.0,104.0,897.0,1001.0,104.0,0.6310051716878741,0.6249482308503193,0.7694895675569213,0.7671403313015299,0.6169293774116656,0.6103974328319094,0.5461398110396004,0.5369416795043955,0.6212304990719819,0.614845634943071
655.0,904.0,1007.0,103.0,904.0,1007.0,103.0,0.6153966419902697,0.608811872579993,0.7727147061089591,0.7704310732991931,0.6350649760434585,0.6291416527300916,0.54734261598988,0.5381936643931043,0.6040157159533137,0.5970319382004423
660.0,907.0,1013.0,106.0,907.0,1013.0,106.0,0.6008295264855619,0.593731902903921,0.7702787816540682,0.767945685746472,0.6548447134013596,0.6495507430207001,0.5505872601465645,0.5415703040340641,0.588905569556958,0.581373573794695
665.0,912.0,1019.0,107.0,912.0,1019.0,107.0,0.5874259596163371,0.5798391477027934,0.7626770035237039,0.7601861052046882,0.6758820584961069,0.671218120373774,0.5558467896451442,0.5470417190298018,0.5760125808824511,0.5679961242565328
670.0,917.0,1025.0,108.0,917.0,1025.0,108.0,0.5752817132393194,0.5672373331425884,0.7507569457200505,0.7480080928714086,0.6976390621245264,0.6935841755744088,0.5630939095133979,0.5545765893653136,0.5653941185769501,0.5569671106744735
675.0,922.0,1031.0,109.0,922.0,1031.0,109.0,0.5644847009444006,0.5560220455661938,0.7355514830318861,0.7324549198988897,0.7194151861451333,0.7159267048001888,0.5722978999301488,0.5641390072549228,0.5570655633756598,0.5483092257099981
