Wavelength,n,k
978.0,2.410923681081087,0.0
979.0,2.4102456229502156,0.0
980.0,2.409569639448295,0.0
981.0,2.408895722120397,0.0
982.0,2.4082238625546206,0.0
983.0,2.40755405238183,0.0
984.0,2.4068862832753943,0.0
985.0,2.406220546950928,0.0
986.0,2.405556835166034,0.0
987.0,2.404895139720049,0.0
988.0,2.404235452453791,0.0
989.0,2.4035777652493056,0.0
990.0,2.402922070029618,0.0
991.0,2.402268358758484,0.0
992.0,2.4016166234401446,0.0
993.0,2.4009668561190813,0.0
994.0,2.4003190488797728,0.0
995.0,2.399673193846455,0.0
996.0,2.3990292831828794,0.0
997.0,2.3983873090920786,0.0
998.0,2.3977472638161275,0.0
999.0,2.3971091396359103,0.0
1000.0,2.396472928870888,0.0
1001.0,2.395838623878866,0.0
1002.0,2.3952062170557653,0.0
1003.0,2.3945757008353956,0.0
1004.0,2.3939470676892274,0.0
1005.0,2.3933203101261675,0.0
1006.0,2.3926954206923376,0.0
1007.0,2.39207239197085,0.0
1008.0,2.3914512165815895,0.0
1009.0,2.390831887180994,0.0
1010.0,2.390214396461838,0.0
1011.0,2.3895987371530154,0.0
1012.0,2.3889849020193292,0.0
1013.0,2.3883728838612743,0.0
1014.0,2.3877626755148302,0.0
1015.0,2.3871542698512482,0.0
1016.0,2.3865476597768454,0.0
1017.0,2.3859428382327983,0.0
1018.0,2.3853397981949347,0.0
1019.0,2.384738532673533,0.0
1020.0,2.384139034713117,0.0
1021.0,2.3835412973922563,0.0
1022.0,2.3829453138233663,0.0
1023.0,2.3823510771525096,0.0
1024.0,2.381758580559198,0.0
1025.0,2.3811678172562,0.0
1026.0,2.3805787804893415,0.0
1027.0,2.3799914635373165,0.0
1028.0,2.379405859711495,0.0
1029.0,2.378821962355731,0.0
1030.0,2.3782397648461746,0.0
1031.0,2.377659260591083,0.0
1032.0,2.377080443030635,0.0
1033.0,2.3765033056367466,0.0
1034.0,2.3759278419128833,0.0
1035.0,2.375354045393882,0.0
1036.0,2.3747819096457654,0.0
1037.0,2.374211428265564,0.0
1038.0,2.3736425948811366,0.0
1039.0,2.373075403150991,0.0
1040.0,2.3725098467641086,0.0
1041.0,2.371945919439769,0.0
1042.0,2.3713836149273755,0.0
1043.0,2.3708229270062806,0.0
1044.0,2.370263849485615,0.0
1045.0,2.3697063762041175,0.0
1046.0,2.3691505010299627,0.0
1047.0,2.368596217860596,0.0
1048.0,2.3680435206225625,0.0
1049.0,2.367492403271344,0.0
1050.0,2.3669428597911892,0.0
1051.0,2.366394884194956,0.0
1052.0,2.3658484705239418,0.0
1053.0,2.365303612847726,0.0
1054.0,2.364760305264007,0.0
1055.0,2.364218541898443,0.0
1056.0,2.3636783169044935,0.0
1057.0,2.363139624463261,0.0
1058.0,2.3626024587833343,0.0
1059.0,2.3620668141006336,0.0
1060.0,2.361532684678254,0.0
1061.0,2.361000064806315,0.0
1062.0,2.360468948801805,0.0
1063.0,2.3599393310084316,0.0
1064.0,2.3594112057964685,0.0
1065.0,2.35888456756261,0.0
1066.0,2.3583594107298183,0.0
1067.0,2.357835729747179,0.0
1068.0,2.3573135190897503,0.0
1069.0,2.356792773258423,0.0
1070.0,2.356273486779771,0.0
1071.0,2.3557556542059097,0.0
1072.0,2.355239270114352,0.0
