Wavelength,R_smooth
900.327606988791,0.18242511955249185
900.7444739446125,0.18344474461760546
901.1613282021405,0.18444330557027303
901.5781697562865,0.18546747557111676
901.994998601964,0.1864888070810047
902.4118147340848,0.18752347602012348
902.8286181475632,0.18855852916508561
903.2454088373138,0.1896173016871594
903.6621867982515,0.19066311897269958
904.0789520252911,0.19167865566931486
904.4957045133493,0.19270163083059733
904.9124442573434,0.1937300671068627
905.3291712521903,0.19475170947801304
905.7458854928086,0.1957497446537284
906.1625869741166,0.1967724094574724
906.5792756910342,0.19777241354711136
906.9959516384816,0.19877157971311063
907.4126148113791,0.19978330923197793
907.829265204648,0.20077831001841961
908.2459028132106,0.20181981751089334
908.6625276319896,0.20283134910568973
909.0791396559076,0.20387413379570693
909.4957388798892,0.20492192548391616
909.912325298859,0.20596559694022756
910.3288989077421,0.20700755389479011
910.7454597014645,0.20805292401850983
911.1620076749518,0.20912329619280212
911.578542823132,0.21019311840381433
911.9950651409331,0.21125614751268604
912.411574623283,0.2123097562316499
912.8280712651107,0.2133611388176924
913.2445550613464,0.21441922817802872
913.6610260069201,0.2154821143936684
914.0774840967636,0.21655799494169595
914.4939293258072,0.21760053999002318
914.910361688984,0.21867369002898793
915.326781181227,0.21976091944529622
915.74318779747,0.2208787263674172
916.1595815326464,0.22197185104584694
916.5759623816919,0.22307764470584085
916.992330339542,0.22418716192732818
917.4086854011323,0.22524677696463338
917.8250275614005,0.22629631331393604
918.2413568152829,0.22734276353815555
918.6576731577189,0.22837853475785308
919.0739765836468,0.22940101476693806
919.4902670880061,0.23039292239654033
919.9065446657365,0.23137266453579844
920.322809311779,0.23236010860466774
920.7390610210755,0.23331691515785508
921.1552997885674,0.23428273445683556
921.5715256091975,0.23525557074680278
921.987738477909,0.23621033981462974
922.4039383896469,0.23714182428799224
922.820125339354,0.23812365866529758
923.2362993219776,0.2390708460556033
923.6524603324624,0.24000934922533004
924.0686083657558,0.24094307920681024
924.4847434168045,0.24186145198619663
924.9008654805565,0.24277336473753694
925.3169745519604,0.24368801015715832
925.733070625965,0.24459677415073017
926.149153697521,0.245478399876091
926.5652237615791,0.24635221933651968
926.9812808130893,0.2471965651472959
927.3973248470045,0.2480291467926104
927.8133558582771,0.24890195733155424
928.2293738418597,0.2497120489612073
928.6453787927064,0.25056437812355786
929.0613707057717,0.251393833705652
929.477349576011,0.2522019334970026
929.8933153983794,0.2530312089633414
930.309268167834,0.25385269452127524
930.7252078793318,0.25465552682322745
931.1411345278304,0.25547967321192083
931.5570481082882,0.25630627203541695
931.9729486156641,0.2570953666988697
932.3888360449188,0.25788141946456483
932.8047103910116,0.2586443686559612
933.2205716489038,0.259391122913563
933.6364198135573,0.2601008429818776
934.0522548799344,0.26085827062793804
934.4680768429982,0.2615759610297018
934.8838856977128,0.26230861703466
935.299681439042,0.26300487209768425
935.7154640619505,0.26371398596190276
936.1312335614048,0.2644026247008155
936.546989932371,0.2650982134721734
936.962733169816,0.26577461881520514
937.378463268708,0.26646924773804886
937.794180224014,0.26715351523848174
938.2098840307044,0.26780885880188127
938.6255746837478,0.26849477885546796
939.0412521781153,0.269131775108413
939.456916508778,0.2697699240459812
939.8725676707069,0.27039050095266887
940.2882056588741,0.27098684434209647
940.7038304682533,0.2716074014859219
941.1194420938189,0.2722192559336407
941.5350405305433,0.27281600134883516
941.9506257734024,0.2734202354524871
942.3661978173725,0.2740404967748922
942.781756657429,0.2746655486111907
943.1973022885493,0.27528990008904086
943.6128347057103,0.2759544140514427
944.0283539038917,0.2765838341266601
944.4438598780716,0.27720135531762136
944.8593526232297,0.27786386320482626
945.2748321343464,0.27852740312798263
945.6902984064026,0.27915522893217193
946.1057514343805,0.2797724886459742
946.5211912132619,0.28036442241923276
946.9366177380296,0.28097648547527526
947.3520310036673,0.28157668183223983
947.7674310051605,0.28214766897611887
948.1828177374928,0.2827571280640765
948.5981911956504,0.2833371465140804
949.0135513746196,0.283921761537527
949.4288982693877,0.28456226531068496
949.8442318749421,0.28512728554880085
950.259552186271,0.2856993609179581
950.674859198364,0.28627722544982015
951.09015290621,0.2868319842887153
951.5054333048005,0.28734345689221774
951.9207003891253,0.28785804637075496
952.3359541541768,0.28834556720550425
952.7511945949477,0.2887934198790498
953.1664217064304,0.2892496531048483
953.5816354836189,0.2896621624834619
953.996835921508,0.29007166334868806
954.4120230150925,0.2904869971905142
954.8271967593681,0.2908840811525872
955.2423571493309,0.2912654739219081
955.6575041799788,0.29166791300673284
956.0726378463092,0.29202935704354277
956.4877581433204,0.2923949882578859
956.9028650660126,0.29276409688850485
957.317958609384,0.2931217967560767
957.7330387684365,0.2934479849604016
958.1481055381701,0.2937513457537173
958.5631589135872,0.2940301008474553
958.9781988896909,0.294291061318418
959.3932254614837,0.2945385991579246
959.8082386239695,0.2947805567840833
960.2232383721534,0.29503174747210253
960.6382247010406,0.2952395552112515
961.053197605636,0.2954496642983928
961.4681570809477,0.2956635982904565
961.8831031219815,0.29585610899248144
962.2980357237471,0.2960717724216886
962.7129548812517,0.2962705629195493
963.1278605895054,0.296455702859889
963.542752843518,0.29663378738536444
963.9576316382996,0.29680279515072344
964.372496968863,0.29697640090227245
964.7873488302189,0.2971475727048592
965.2021872173805,0.2973041266134076
965.6170121253616,0.2974714596595108
966.031823549176,0.29760754551774704
966.4466214838384,0.2977075981928538
