Wavelength_nm,ensemble_id,n_PVK,k_PVK,eps1,eps2
806.0,more_absorptive,2.574817356433265,0.013324208922594057,6.629506884446575,0.06861480878927631
807.0,more_absorptive,2.573345581602733,0.01283061437205844,6.621942857689143,0.06603520960717021
808.0,more_absorptive,2.571880463983013,0.012341115097812124,6.614416817895621,0.06347974564765763
809.0,more_absorptive,2.570422161686217,0.011856052372879221,6.606929523309777,0.060950119538722425
810.0,more_absorptive,2.568970832961431,0.011375767470283838,6.599481732521011,0.05844802966742125
811.0,more_absorptive,2.5675266361937,0.010900601663050085,6.59207420444752,0.05597517024083687
812.0,more_absorptive,2.5660897299030276,0.010430896224202063,6.584707698317753,0.05353323134921837
813.0,more_absorptive,2.564660272743377,0.009966992426763889,6.577382973650099,0.0511238990313109
814.0,more_absorptive,2.563238423501688,0.009509231543759667,6.570100790230867,0.04874885534187811
815.0,more_absorptive,2.5618243410968957,0.009057954848213506,6.562861908090512,0.046409778421419995
816.0,more_absorptive,2.5604181845789613,0.008613503613149517,6.55566708747813,0.04410834256808922
817.0,more_absorptive,2.5590201131279113,0.008176219111591805,6.5485170888342275,0.04184621831180851
818.0,more_absorptive,2.5576302860528837,0.007746442616564481,6.541412672761743,0.03962507249059213
819.0,more_absorptive,2.5562488627911817,0.007324515401091655,6.534354599995349,0.03744656832907408
820.0,more_absorptive,2.5548760029073367,0.0069107787381974305,6.527343631369002,0.03531236551924572
821.0,more_absorptive,2.5535118660921814,0.006505573900905921,6.520380527781794,0.03322412030340574
822.0,more_absorptive,2.5521566121619252,0.006109242162241232,6.513466050162039,0.031183485559324754
823.0,more_absorptive,2.5508104010572423,0.005722124795227474,6.506600959429638,0.029192110887627565
824.0,more_absorptive,2.5494733928423674,0.005344563072888752,6.499786016456732,0.027251642701395434
825.0,more_absorptive,2.5481457477041927,0.0049768982682491785,6.493021982026587,0.02536372431799101
826.0,more_absorptive,2.546827625951384,0.0046194716543328605,6.486309616790798,0.023529996053108543
827.0,more_absorptive,2.545519188013493,0.004272624504163906,6.479649681224719,0.021752095317051717
828.0,more_absorptive,2.5442205944400835,0.003936698090766426,6.473042935581194,0.020031656713241797
829.0,more_absorptive,2.542932005899864,0.0036120336871645247,6.466490139842549,0.018370312138958334
830.0,more_absorptive,2.5416535831798255,0.003298972566382313,6.459992053670852,0.0167696908883151
831.0,more_absorptive,2.540385487184388,0.0029978560014438994,6.453549436356456,0.015231419757473403
832.0,more_absorptive,2.539127878934556,0.0027090252653733937,6.447163046764809,0.013757123152095336
833.0,more_absorptive,2.5378809195670775,0.002432821631194902,6.440833643281546,0.01234842319703919
834.0,more_absorptive,2.536644770333612,0.002169586371932533,6.434561983755838,0.01100693984829947
835.0,more_absorptive,2.535419592599906,0.0019196607606103977,6.428348825442038,0.00973429100719368
836.0,more_absorptive,2.534205547844975,0.001683386070252602,6.422194924939589,0.00853209263679819
837.0,more_absorptive,2.5330027976602913,0.0014611035738832563,6.416101038131209,0.007401958880635477
838.0,more_absorptive,2.531811503748977,0.0012531545445264676,6.410067920119344,0.006345502183614841
839.0,more_absorptive,2.5306318279250117,0.0010598802552063454,6.40409632516093,0.005364333415228924
840.0,more_absorptive,2.529463932112435,0.0008816219789469975,6.398187006600388,0.004460061995008037
841.0,more_absorptive,2.5283079783445674,0.000718720988772533,6.392340716800934,0.0036342960202345826
842.0,more_absorptive,2.5271641287632263,0.0005715185577070599,6.386558207074135,0.0028886423959195557
843.0,more_absorptive,2.526032545617958,0.0004403559587746872,6.380840227607772,0.0022247069670433195
844.0,more_absorptive,2.5249133912652746,0.00032557446499952345,6.375187527391977,0.0016440946530626485
845.0,more_absorptive,2.5238068281678867,0.00022751534940567677,6.369600854143615,0.0011484095846860992
846.0,more_absorptive,2.5227130188939597,0.00014651988501725584,6.364080954228998,0.0007392552429197547
847.0,more_absorptive,2.521632126116361,8.292934485836916e-05,6.358628572584841,0.00041823460038529266
848.0,more_absorptive,2.5205643126119224,3.708500195312531e-05,6.353244452637515,0.0001869502649123822
849.0,more_absorptive,2.5195097412607064,9.328129325632747e-06,6.347929336220577,4.700462540734274e-05
850.0,more_absorptive,2.518468575045276,0.0,6.342683963490584,0.0
851.0,more_absorptive,2.5174359883196944,0.0,6.337483955287157,0.0
852.0,more_absorptive,2.516407035328721,0.0,6.332304367451882,0.0
853.0,more_absorptive,2.515381699042561,0.0,6.32714509187824,0.0
854.0,more_absorptive,2.514359962531066,0.0,6.322006021179225,0.0
855.0,more_absorptive,2.513341808963039,0.0,6.3168870486816004,0.0
856.0,more_absorptive,2.5123272216055352,0.0,6.311788068420189,0.0
857.0,more_absorptive,2.511316183823181,0.0,6.306708975132225,0.0
858.0,more_absorptive,2.510308679077486,0.0,6.3016496642517525,0.0
859.0,more_absorptive,2.509304690926174,0.0,6.296610031904101,0.0
860.0,more_absorptive,2.508304203022502,0.0,6.291589974900348,0.0
861.0,more_absorptive,2.5073071991146065,0.0,6.286589390731933,0.0
862.0,more_absorptive,2.5063136630448337,0.0,6.281608177565213,0.0
863.0,more_absorptive,2.5053235787490906,0.0,6.276646234236151,0.0
864.0,more_absorptive,2.5043369302561933,0.0,6.271703460245013,0.0
865.0,more_absorptive,2.5033537016872236,0.0,6.2667797557511244,0.0
866.0,more_absorptive,2.50237387725489,0.0,6.261875021567671,0.0
867.0,more_absorptive,2.5013974412628937,0.0,6.256989159156552,0.0
868.0,more_absorptive,2.5004243781053006,0.0,6.25212207062328,0.0
