Wavelength_nm,R_front,T_front,R_stack,R_total,ensemble_id,d_PVK_nm,Delta_R_stack_vs_700nm,Delta_R_total_vs_700nm
419.0,0.04193131469631514,0.9580686853036848,0.044307653824020174,0.0826768156198317,nominal,600.0,2.6284929094400056e-10,2.4216720295733296e-10
420.0,0.04193131469631514,0.9580686853036848,0.04262884446605114,0.08113021109053678,nominal,600.0,2.7728284945904846e-10,2.554290529088732e-10
421.0,0.04193131469631514,0.9580686853036848,0.04096410683836259,0.07959678553994734,nominal,600.0,2.924115533042837e-10,2.693277267873384e-10
422.0,0.04193131469631514,0.9580686853036848,0.03931566411697712,0.07807858087300894,nominal,600.0,3.0830819841565216e-10,2.839301155299623e-10
423.0,0.04193131469631514,0.9580686853036848,0.03768567665312683,0.0765775800701678,nominal,600.0,3.250576544044925e-10,2.993141845486491e-10
424.0,0.04193131469631514,0.9580686853036848,0.03607623944737866,0.075095704931399,nominal,600.0,3.4275835641972563e-10,3.1557040314211804e-10
425.0,0.04193131469631514,0.9580686853036848,0.03448937977080305,0.07363481395955722,nominal,600.0,3.6152408150469384e-10,3.328032710525619e-10
426.0,0.04193131469631514,0.9580686853036848,0.03292705494178939,0.07219670039038417,nominal,600.0,3.8148548903160773e-10,3.511327895111549e-10
427.0,0.04193131469631514,0.9580686853036848,0.03139115027659158,0.07078309038522233,nominal,600.0,4.0279225094197457e-10,3.706964596394968e-10
428.0,0.04193131469631514,0.9580686853036848,0.0298834772055772,0.06939564137844471,nominal,600.0,4.2561493565629327e-10,3.916509755397257e-10
429.0,0.04193131469631514,0.9580686853036848,0.028405771557312637,0.0680359405809727,nominal,600.0,4.501472042339749e-10,4.1417419494038654e-10
430.0,0.04193131469631514,0.9580686853036848,0.026959692021036503,0.06670550364900903,nominal,600.0,4.766083187834891e-10,4.3846745678699506e-10
431.0,0.04193131469631514,0.9580686853036848,0.02554681879330131,0.0654057735227278,nominal,600.0,5.052459145504784e-10,4.647581763883579e-10
432.0,0.04193131469631514,0.9580686853036848,0.02416865240165464,0.06413811942780338,nominal,600.0,5.363407287739541e-10,4.933041336530053e-10
433.0,0.04193131469631514,0.9580686853036848,0.022826612709199747,0.06290383604277446,nominal,600.0,5.702083319403251e-10,5.243950967903643e-10
434.0,0.04193131469631514,0.9580686853036848,0.0215220381092774,0.06170414284022718,nominal,600.0,6.072014453739616e-10,5.583548554066731e-10
435.0,0.04193131469631514,0.9580686853036848,0.02025618490408721,0.06054018359561865,nominal,600.0,6.477131123117097e-10,5.955442528016164e-10
436.0,0.04193131469631514,0.9580686853036848,0.01903022686515969,0.05941302606135852,nominal,600.0,6.921798134662538e-10,6.363639892814632e-10
437.0,0.04193131469631514,0.9580686853036848,0.017845254978390773,0.05832366180821186,nominal,600.0,7.410846623867595e-10,6.812575087389305e-10
438.0,0.04193131469631514,0.9580686853036848,0.016702277374719233,0.05727300623461673,nominal,600.0,7.949605314305774e-10,7.307139338053048e-10
439.0,0.04193131469631514,0.9580686853036848,0.015602219438152695,0.05626189873592703,nominal,600.0,8.54393123958519e-10,7.852708414080034e-10
440.0,0.04193131469631514,0.9580686853036848,0.014545924089437381,0.05529110303168733,nominal,600.0,9.200240534690263e-10,8.45517135472651e-10
441.0,0.04193131469631514,0.9580686853036848,0.013534152245755587,0.05436130765100271,nominal,600.0,9.92553313844402e-10,9.120952743080224e-10
442.0,0.04193131469631514,0.9580686853036848,0.012567583449280204,0.05347312656916046,nominal,600.0,1.0727405335558826e-09,9.85702429401325e-10
443.0,0.04193131469631514,0.9580686853036848,0.011646816658437135,0.05262709998963996,nominal,600.0,1.161408044389467e-09,1.0670933511813807e-09
444.0,0.04193131469631514,0.9580686853036848,0.010772371198128683,0.05182369526789323,nominal,600.0,1.2594427636208883e-09,1.1570820482309507e-09
445.0,0.04193131469631514,0.9580686853036848,0.00970985639760851,0.050847579447075214,nominal,600.0,1.1729447222524891e-09,1.077518047010173e-09
446.0,0.04193131469631514,0.9580686853036848,0.008751435491138502,0.049967167707876445,nominal,600.0,8.787839796131625e-10,8.072242804746388e-10
447.0,0.04193131469631514,0.9580686853036848,0.00789721848157672,0.04918253801382964,nominal,600.0,2.8242334859651663e-10,2.594069264949539e-10
448.0,0.04193131469631514,0.9580686853036848,0.007147155798372481,0.04849362425350197,nominal,600.0,-7.387945836698218e-10,-6.78542944054783e-10
449.0,0.04193131469631514,0.9580686853036848,0.006540502830915391,0.047936460426791276,nominal,600.0,-1.6866637114754113e-09,-1.5490307439525175e-09
450.0,0.04193131469631514,0.9580686853036848,0.0060565548369345395,0.04749201195800113,nominal,600.0,-2.1699941427089087e-09,-1.9928401637225868e-09
451.0,0.04193131469631514,0.9580686853036848,0.005672761454917136,0.04713955637372128,nominal,600.0,-1.8375874537290837e-09,-1.6875161615304002e-09
452.0,0.04193131469631514,0.9580686853036848,0.0053652042633542075,0.04685712027246755,nominal,600.0,-4.884613156661e-10,-4.485582946744948e-10
453.0,0.04193131469631514,0.9580686853036848,0.0051185398587138276,0.046630608536368835,nominal,600.0,1.931039703140236e-09,1.7732539533965586e-09
454.0,0.04193131469631514,0.9580686853036848,0.004899262952686261,0.04642925065443989,nominal,600.0,4.3517543900015165e-09,3.996097917846608e-09
455.0,0.04193131469631514,0.9580686853036848,0.004684140382611733,0.046231711220464586,nominal,600.0,6.475542910916454e-09,5.946207970453088e-09
456.0,0.04193131469631514,0.9580686853036848,0.004483599112160108,0.046047564487508984,nominal,600.0,8.380605079696957e-09,7.69541382700245e-09
457.0,0.04193131469631514,0.9580686853036848,0.004311800969161746,0.045889813553366576,nominal,600.0,1.020717488482703e-08,9.372509754412839e-09
458.0,0.04193131469631514,0.9580686853036848,0.004165820583232431,0.045755771153728635,nominal,600.0,1.1748484914086976e-08,1.0787651077981408e-08
459.0,0.04193131469631514,0.9580686853036848,0.004044311062928318,0.04564419969251728,nominal,600.0,1.2983736738525486e-08,1.1921758011346206e-08
460.0,0.04193131469631514,0.9580686853036848,0.003950138788333241,0.04555773039186282,nominal,600.0,1.40409386227211e-08,1.289238634599732e-08
