Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,d_C60_bulk_nm,ensemble_id,d_BEMA_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
461.0,0.04193131469631514,0.9580686853036848,0.0038710448972282987,0.045485106641586184,700.0,15.0,nominal,0.0,0.0,0.0
462.0,0.04193131469631514,0.9580686853036848,0.0037994587184971866,0.0454193768634443,700.0,15.0,nominal,0.0,0.0,0.0
463.0,0.04193131469631514,0.9580686853036848,0.0037556345857602856,0.04537913813816165,700.0,15.0,nominal,0.0,0.0,0.0
464.0,0.04193131469631514,0.9580686853036848,0.003755860563406594,0.04537934562739729,700.0,15.0,nominal,0.0,0.0,0.0
465.0,0.04193131469631514,0.9580686853036848,0.003790997513589398,0.04541160788814432,700.0,15.0,nominal,0.0,0.0,0.0
466.0,0.04193131469631514,0.9580686853036848,0.0038537346746510093,0.04546921251649601,700.0,15.0,nominal,0.0,0.0,0.0
467.0,0.04193131469631514,0.9580686853036848,0.0039490742075944255,0.04555675289413641,700.0,15.0,nominal,0.0,0.0,0.0
468.0,0.04193131469631514,0.9580686853036848,0.004076146665216903,0.04567343140455828,700.0,15.0,nominal,0.0,0.0,0.0
469.0,0.04193131469631514,0.9580686853036848,0.004224521022295295,0.04580967099006835,700.0,15.0,nominal,0.0,0.0,0.0
470.0,0.04193131469631514,0.9580686853036848,0.004390466490338519,0.04596204664485087,700.0,15.0,nominal,0.0,0.0,0.0
471.0,0.04193131469631514,0.9580686853036848,0.004589435104994181,0.04614474784959812,700.0,15.0,nominal,0.0,0.0,0.0
472.0,0.04193131469631514,0.9580686853036848,0.004837303858167231,0.04637235544777678,700.0,15.0,nominal,0.0,0.0,0.0
473.0,0.04193131469631514,0.9580686853036848,0.005121731878042002,0.0466335397353704,700.0,15.0,nominal,0.0,0.0,0.0
474.0,0.04193131469631514,0.9580686853036848,0.00541704496908035,0.04690472614929832,700.0,15.0,nominal,0.0,0.0,0.0
475.0,0.04193131469631514,0.9580686853036848,0.0057345434583749005,0.04719629293838544,700.0,15.0,nominal,0.0,0.0,0.0
476.0,0.04193131469631514,0.9580686853036848,0.006116505525969273,0.047547068531102445,700.0,15.0,nominal,0.0,0.0,0.0
477.0,0.04193131469631514,0.9580686853036848,0.006567263820735328,0.047961037728217776,700.0,15.0,nominal,0.0,0.0,0.0
478.0,0.04193131469631514,0.9580686853036848,0.007044456744705035,0.048399301122628975,700.0,15.0,nominal,0.0,0.0,0.0
479.0,0.04193131469631514,0.9580686853036848,0.007523723277363714,0.048839486618931116,700.0,15.0,nominal,0.0,0.0,0.0
480.0,0.04193131469631514,0.9580686853036848,0.008015584907429082,0.04929125856710882,700.0,15.0,nominal,0.0,0.0,0.0
481.0,0.04193131469631514,0.9580686853036848,0.008535553696018971,0.04976886704136965,700.0,15.0,nominal,0.0,0.0,0.0
482.0,0.04193131469631514,0.9580686853036848,0.009097905873137888,0.05028542950636736,700.0,15.0,nominal,0.0,0.0,0.0
483.0,0.04193131469631514,0.9580686853036848,0.00971069079699456,0.05084834596267398,700.0,15.0,nominal,0.0,0.0,0.0
484.0,0.04193131469631514,0.9580686853036848,0.010371610982705809,0.05145551287085831,700.0,15.0,nominal,0.0,0.0,0.0
485.0,0.04193131469631514,0.9580686853036848,0.011072264304060164,0.05209921814611624,700.0,15.0,nominal,0.0,0.0,0.0
486.0,0.04193131469631514,0.9580686853036848,0.011789543086364236,0.05275823678941212,700.0,15.0,nominal,0.0,0.0,0.0
487.0,0.04193131469631514,0.9580686853036848,0.012507748162673343,0.053418146229092286,700.0,15.0,nominal,0.0,0.0,0.0
488.0,0.04193131469631514,0.9580686853036848,0.013262453694252219,0.054111636288315224,700.0,15.0,nominal,0.0,0.0,0.0
489.0,0.04193131469631514,0.9580686853036848,0.014092030998517297,0.054873975810708235,700.0,15.0,nominal,0.0,0.0,0.0
490.0,0.04193131469631514,0.9580686853036848,0.014960066666888512,0.05567171343876856,700.0,15.0,nominal,0.0,0.0,0.0
491.0,0.04193131469631514,0.9580686853036848,0.015809335568070956,0.05645226036950272,700.0,15.0,nominal,0.0,0.0,0.0
492.0,0.04193131469631514,0.9580686853036848,0.01665723639498204,0.05723160542569479,700.0,15.0,nominal,0.0,0.0,0.0
493.0,0.04193131469631514,0.9580686853036848,0.017556758182362898,0.05805845833086755,700.0,15.0,nominal,0.0,0.0,0.0
494.0,0.04193131469631514,0.9580686853036848,0.018511915550018212,0.05893652056707753,700.0,15.0,nominal,0.0,0.0,0.0
495.0,0.04193131469631514,0.9580686853036848,0.019493024111577387,0.059838512644168236,700.0,15.0,nominal,0.0,0.0,0.0
496.0,0.04193131469631514,0.9580686853036848,0.02048157287142159,0.06074742006805825,700.0,15.0,nominal,0.0,0.0,0.0
497.0,0.04193131469631514,0.9580686853036848,0.021470484209586235,0.06165673631945822,700.0,15.0,nominal,0.0,0.0,0.0
498.0,0.04193131469631514,0.9580686853036848,0.02248046111141721,0.06258550053037364,700.0,15.0,nominal,0.0,0.0,0.0
