Wavelength_nm,n_Glass,k_Glass,n_ITO,k_ITO,n_NiOx,k_NiOx,n_PVK,k_PVK,n_C60,k_C60,n_SnOx,k_SnOx,n_Ag,k_Ag
892,1.515,0.0,1.956179963320202,0.050706583334095785,2.095007395971459,0.2623758573156005,2.478043663662052,0.0,2.015434165502372,0.018322425527169818,1.8737836145462852,0.020399130869612415,0.05955815254998899,6.325465140593705
893,1.515,0.0,1.9560067752812584,0.050727094439479675,2.095227705441017,0.26235544443672193,2.477150101460271,0.0,2.0152615494018815,0.01828055361066688,1.8737740649672878,0.020374807681063988,0.059651319343530525,6.333195574478186
894,1.515,0.0,1.9558341637593664,0.05074752152789837,2.095447928508179,0.262334586750303,2.476259536112023,0.0,2.015089642179124,0.018238886804132406,1.8737645477502423,0.020350544009152195,0.05974584396022912,6.340920959345293
895,1.515,0.0,1.95566212618414,0.05076786478475536,2.0956680631778317,0.2623132863797232,2.4753719542310377,0.0,2.0149184398988433,0.018197423118538357,1.8737550627487347,0.02032633963080356,0.059841449508179094,6.3486423266381875
896,1.515,0.0,1.9554906599995108,0.05078812439641831,2.0958881074754148,0.2622915454417123,2.4744873425056975,0.0,2.0147479381988584,0.018156160255040424,1.8737456098172185,0.02030219432405163,0.05993785909547475,6.356360707800029
897,1.515,0.0,1.9553197626637038,0.0508083005501939,2.096108059446772,0.2622693660463382,2.473605687698548,0.0,2.014578133073537,0.01811509884237818,1.8737361888109552,0.02027810786808066,0.060034795830210375,6.3640771342739715
898,1.515,0.0,1.9551522141947082,0.05082804916302826,2.096324936772708,0.2622466270712346,2.4727269766457978,0.0,2.0144119088797243,0.018074962901103175,1.8737269535105896,0.020254452123975936,0.060131982820480254,6.371792637503176
899,1.515,0.0,1.954984746236238,0.0508477667121191,2.0965265863173523,0.26222867263906435,2.471851196256828,0.0,2.0142418437806997,0.01732305101009509,1.873717709183626,0.019427256099778474,0.060229143174378705,6.379508248930799
900,1.515,0.0,1.954817923186567,0.050867368481156784,2.0967128369320442,0.2622151540859689,2.4709783335137043,0.0,2.0140686154637,0.015859521361619455,1.8737084874353542,0.01779656665662199,0.060326000000000005,6.387225000000001
901,1.515,0.0,1.9546517431302313,0.05088685298566929,2.096883612533151,0.2622151540859689,2.470108375470696,0.0,2.0138922084530164,0.01368433443767493,1.8736992880908776,0.015362372068292832,0.06042233444745675,6.394943704045465
902,1.515,0.0,1.9544862041620497,0.050906218703361684,2.0970388378396567,0.2622151540859689,2.4692413092537926,0.0,2.013712607831819,0.0107974506,1.8736901109765853,0.012124660652298239,0.06051815983493466,6.402664301967981
903,1.515,0.0,1.9543185313675044,0.05092581595687148,2.0971817951635847,0.2622151540859689,2.468377122060227,0.0,2.0135269866135888,0.0071983004,1.8736808028636298,0.008083107101532159,0.06061354752263772,6.410386516559868
904,1.515,0.0,1.9541519696015148,0.05094523182633994,2.0973238052278838,0.2622151540859689,2.4675158011580085,0.0,2.0133425953532327,0.0035991502,1.8736715564278197,0.004041553550766078,0.06070856887076996,6.418110070613438
905,1.515,0.0,1.9539859596688707,0.05096455700378776,2.09746534480072,0.2622151540859689,2.4666573338854465,0.0,2.013158814996859,0.0,1.8736623406262405,0.0,0.06080329523953536,6.425834686921013
906,1.515,0.0,1.9538204991345671,0.05098379148921491,2.097606415958172,0.2622151540859689,2.465801707650691,0.0,2.012975642848809,0.0,1.8736531553237166,0.0,0.06089779798913793,6.4335600882749056
907,1.515,0.0,1.9536555855770146,0.05100293528262142,2.0977470207648796,0.2622151540859689,2.464948909931267,0.0,2.0127930762282746,0.0,1.8736440003858166,0.0,0.06099214847978168,6.441285997467435
908,1.515,0.0,1.9534912165879512,0.05102198838400727,2.097887161274119,0.2622151540859689,2.4640989282736196,0.0,2.012611112469205,0.0,1.8736348756788497,0.0,0.061086418071670597,6.4490121372909135
909,1.515,0.0,1.953327389772355,0.051040950793372446,2.09802683952788,0.2622151540859689,2.4632517502926548,0.0,2.012429748920203,0.0,1.8736257810698593,0.0,0.061180678125008714,6.456738230537664
910,1.515,0.0,1.9531641027483555,0.051059822510716966,2.098166057556937,0.2622151540859689,2.4624073636712946,0.0,2.0122489829444334,0.0,1.87361671642662,0.0,0.06127500000000001,6.464464
911,1.515,0.0,1.9530013531471482,0.051078603536040844,2.0983048173809267,0.2622151540859689,2.461565756160023,0.0,2.0120688119195247,0.0,1.8736076816176304,0.0,0.06136944073866279,6.47218922856945
912,1.515,0.0,1.9528391386129085,0.05109729386934405,2.098443121008417,0.2622151540859689,2.4607269155764455,0.0,2.0118892332374734,0.0,1.8735986765121104,0.0,0.06146400011027245,6.479913939534375
913,1.515,0.0,1.9526774568027059,0.0511158935106266,2.0985809704369847,0.2622151540859689,2.4598908298048485,0.0,2.011710244304553,0.0,1.8735897009799958,0.0,0.06155866356591868,6.487638216282357
914,1.515,0.0,1.95251630538642,0.051134402459888505,2.0987183676532823,0.2622151540859689,2.4590574867957606,0.0,2.011531842541216,0.0,1.8735807548919332,0.0,0.061653416556691154,6.495362142200963
915,1.515,0.0,1.9523556820466568,0.05115282071712974,2.098855314633114,0.2622151540859689,2.458226874565515,0.0,2.011354025382005,0.0,1.8735718381192759,0.0,0.061748244533679573,6.503085800677773
916,1.515,0.0,1.952195584478664,0.0511711482823503,2.098991813341504,0.2622151540859689,2.457398981195826,0.0,2.011176790275456,0.0,1.8735629505340787,0.0,0.06184313294797365,6.510809275100363
917,1.515,0.0,1.95203601039025,0.05118938515555022,2.0991278657327688,0.2622151540859689,2.456573794833357,0.0,2.0110001346840125,0.0,1.8735540920090943,0.0,0.06193806725066303,6.518532648856305
918,1.515,0.0,1.9518769575017008,0.051207531336729485,2.099263473750585,0.2622151540859689,2.4557513036892966,0.0,2.0108240560839294,0.0,1.8735452624177673,0.0,0.06203303289283742,6.526256005333174
919,1.515,0.0,1.951718423545699,0.05122558682588809,2.099398639328061,0.2622151540859689,2.454931496038936,0.0,2.0106485519651858,0.0,1.873536461634231,0.0,0.06212801532558652,6.533979427918548
920,1.515,0.0,1.9515604062672425,0.05124355162302604,2.0995333643878045,0.2622151540859689,2.4541143602212556,0.0,2.010473619831395,0.0,1.8735276895333022,0.0,0.062223,6.541703000000001
921,1.515,0.0,1.9514029034235651,0.05126142572814333,2.0996676508419916,0.2622151540859689,2.453299884638506,0.0,2.0102992571997143,0.0,1.8735189459904769,0.0,0.06231797459789216,6.5494267826767425
922,1.515,0.0,1.9512459127840565,0.05127920914123996,2.0998015005924344,0.2622151540859689,2.4524880577558004,0.0,2.01012546160076,0.0,1.873510230881926,0.0,0.06241293572397563,6.55715074789452
923,1.515,0.0,1.951089432130183,0.05129690186231594,2.099934915530647,0.2622151540859689,2.451678868100701,0.0,2.009952230578517,0.0,1.873501544084491,0.0,0.06250788221368768,6.56487484531072
924,1.515,0.0,1.9509334592554102,0.05131450389137126,2.1000678975379152,0.2622151540859689,2.4508723042628175,0.0,2.009779561690253,0.0,1.8734928854756792,0.0,0.06260281290246553,6.572599024582718
925,1.515,0.0,1.9507779919651231,0.05133201522840591,2.10020044848536,0.2622151540859689,2.4500683548934066,0.0,2.0096074525064327,0.0,1.8734842549336597,0.0,0.0626977266257464,6.580323235367903
926,1.515,0.0,1.9506230280765517,0.05134943587341991,2.1003325702340057,0.2622151540859689,2.4492670087049677,0.0,2.009435900610633,0.0,1.8734756523372593,0.0,0.06279262221896759,6.588047427323656
927,1.515,0.0,1.9504685654186924,0.051366765826413245,2.100464264634843,0.2622151540859689,2.4484682544708485,0.0,2.0092649035994556,0.0,1.8734670775659577,0.0,0.0628874985175663,6.59577155010736
928,1.515,0.0,1.9503146018322322,0.051384005087385935,2.100595533528896,0.2622151540859689,2.447672081024855,0.0,2.0090944590824464,0.0,1.8734585304998836,0.0,0.06298235435697976,6.603495553376396
