sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
708.010186132072,2.00151622863214,708.010186132072,0.0454406678225277,,
707.230006663661,2.00178634901415,707.230006663661,0.0454129327583393,,
706.449827195256,2.00205736252247,706.449827195256,0.0453851781159694,,
705.669647726845,2.00232927312585,705.669647726845,0.045357404625223,,
704.889468258439,2.00260208481518,704.889468258439,0.0453296130270697,,
704.109288790029,2.0028758016036,704.109288790029,0.0453018040737594,,
703.329109321622,2.00315042752664,703.329109321622,0.0452739785289677,,
702.548929853212,2.0034259666424,702.548929853212,0.0452461371679614,,
701.768750384806,2.00370242303169,701.768750384806,0.0452182807777354,,
700.988570916397,2.00397980079819,700.988570916397,0.0451904101571595,,
700.20839144799,2.00425810406855,700.20839144799,0.0451625261171254,,
699.42821197958,2.00453733699262,699.42821197958,0.0451346294807199,,
698.648032511173,2.00481750374356,698.648032511173,0.0451067210833627,,
697.867853042765,2.00509860851799,697.867853042765,0.0450788017729703,,
697.087673574358,2.00538065553618,697.087673574358,0.0450508724101052,,
696.30749410595,2.00566364904217,696.30749410595,0.0450229338681702,,
695.52731463754,2.00594759330397,695.52731463754,0.0449949870335285,,
694.747135169132,2.00623249261367,694.747135169132,0.0449670328057045,,
693.966955700724,2.00651835128765,693.966955700724,0.0449390720975294,,
693.186776232317,2.00680517366672,693.186776232317,0.0449111058353425,,
692.406596763907,2.00709296411629,692.406596763907,0.0448831349591087,,
691.626417295498,2.00738172702653,691.626417295498,0.0448551604226551,,
690.846237827093,2.00767146681253,690.846237827093,0.0448271831938193,,
690.066058358681,2.0079621879145,690.066058358681,0.0447992042546172,,
689.285878890276,2.00825389479789,689.285878890276,0.0447712246014373,,
688.505699421867,2.0085465919536,688.505699421867,0.0447432452452592,,
687.725519953457,2.00884028389813,687.725519953457,0.0447152672117587,,
686.945340485051,2.00913497517379,686.945340485051,0.0446872915415876,,
686.16516101664,2.00943067034881,686.16516101664,0.0446593192905045,,
685.384981548234,2.00972737401757,685.384981548234,0.0446313515295955,,
684.604802079825,2.01002509080075,684.604802079825,0.0446033893454656,,
