NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
764.1831079,2.045237272,764.1831079,0.026136942,,
763.4029284,2.045481613,763.4029284,0.026206521,,
762.6227489,2.045726955,762.6227489,0.026276486,,
761.8425695,2.045973303,761.8425695,0.026346841,,
761.06239,2.046220664,761.06239,0.026417587,,
760.2822105,2.046469043,760.2822105,0.02648873,,
759.502031,2.046718447,759.502031,0.026560272,,
758.7218516,2.04696888,758.7218516,0.026632216,,
757.9416721,2.04722035,757.9416721,0.026704565,,
757.1614926,2.047472861,757.1614926,0.026777324,,
756.3813132,2.047726421,756.3813132,0.026850495,,
755.6011337,2.047981036,755.6011337,0.026924082,,
754.8209542,2.048236711,754.8209542,0.026998088,,
754.0407748,2.048493453,754.0407748,0.027072517,,
753.2605953,2.048751268,753.2605953,0.027147372,,
752.4804158,2.049010163,752.4804158,0.027222658,,
751.7002364,2.049270144,751.7002364,0.027298377,,
750.9200569,2.049531217,750.9200569,0.027374533,,
750.1398774,2.049793388,750.1398774,0.02745113,,
749.359698,2.050056665,749.359698,0.027528172,,
748.5795185,2.050321054,748.5795185,0.027605663,,
747.799339,2.050586562,747.799339,0.027683606,,
747.0191596,2.050853194,747.0191596,0.027762005,,
746.2389801,2.051120959,746.2389801,0.027840865,,
745.4588006,2.051389862,745.4588006,0.027920188,,
744.6786211,2.051659911,744.6786211,0.02799998,,
743.8984417,2.051931112,743.8984417,0.028080244,,
743.1182622,2.052203473,743.1182622,0.028160984,,
742.3380827,2.052477,742.3380827,0.028242205,,
741.5579033,2.0527517,741.5579033,0.02832391,,
740.7777238,2.053027581,740.7777238,0.028406105,,
739.9975443,2.05330465,739.9975443,0.028488792,,
739.2173649,2.053582914,739.2173649,0.028571977,,
738.4371854,2.05386238,738.4371854,0.028655664,,
737.6570059,2.054143056,737.6570059,0.028739858,,
736.8768265,2.054424948,736.8768265,0.028824562,,
736.096647,2.054708065,736.096647,0.028909781,,
735.3164675,2.054992414,735.3164675,0.028995521,,
734.5362881,2.055278002,734.5362881,0.029081785,,
733.7561086,2.055564837,733.7561086,0.029168579,,
732.9759291,2.055852928,732.9759291,0.029255906,,
732.1957497,2.05614228,732.1957497,0.029343773,,
731.4155702,2.056432903,731.4155702,0.029432183,,
730.6353907,2.056724805,730.6353907,0.029521142,,
