d_gap_rear_nm,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent,rear_window_max_abs_deltaR_stack_810_1100,rear_window_max_abs_deltaR_total_810_1100,transition_window_max_abs_deltaR_stack_650_810,transition_window_max_abs_deltaR_total_650_810
12.0,955.0,853.0,102.0,26.5819845070425,0.04556612619004308,0.04415523328692139,0.04378957341486467,0.04252926398212831
12.5,956.0,853.0,103.0,26.592293388391152,0.04723917380602205,0.04577978035525687,0.04527799668008714,0.04397767486001114
13.0,956.0,854.0,102.0,26.603452571396357,0.048891340565915375,0.04738428197988409,0.04673900919456686,0.04539959291451823
13.5,956.0,854.0,102.0,26.61165082522835,0.050522464280146395,0.048968571995799626,0.04817271783516097,0.04679511211890219
14.0,957.0,854.0,103.0,26.621855228107695,0.05213240385382356,0.05053250474968618,0.04957924808463643,0.04816434479630549
14.5,957.0,855.0,102.0,26.632476987668994,0.05372103860708766,0.05207595445653168,0.05095874299725145,0.049507420621129006
15.0,957.0,855.0,102.0,26.641295820556433,0.05528826759051009,0.053598814550366636,0.052311362185891275,0.0508244856400627
15.5,958.0,855.0,103.0,26.651172244890663,0.05685923587666841,0.0551009970311247,0.053637280832240175,0.05211570131429166
16.0,958.0,856.0,102.0,26.661219085828392,0.05841813668644957,0.056609267148211906,0.054936688721250126,0.053381243584178395
16.5,958.0,856.0,102.0,26.670775676022195,0.0599570055960611,0.05810434341569859,0.05620978930100451,0.05462130195756221
17.0,959.0,856.0,103.0,26.68009758189416,0.061475760099634735,0.059580072334033285,0.05745679876889742,0.05583607862264561
17.5,959.0,856.0,103.0,26.690475467490906,0.06297433428155497,0.06103638219687213,0.058677945184864355,0.05702578758625221
18.0,959.0,857.0,102.0,26.699928207208657,0.06445267821148848,0.062473216901413164,0.05987346761229284,0.058190653838138706
18.5,960.0,857.0,103.0,26.708467068516907,0.06591075734181606,0.06389053537361189,0.061043615287040165,0.05933091254184386
19.0,960.0,857.0,103.0,26.719765601731627,0.06734855190874034,0.0652883109961343,0.062188646814887005,0.06044680825245985
19.5,960.0,858.0,102.0,26.728575127418843,0.06876605633827793,0.06666653104024556,0.06330882939766458,0.06153859416161944
20.0,960.0,858.0,102.0,26.73735814430159,0.07019032666385205,0.06802519610272195,0.06440443808806728,0.06260653136977534
25.0,963.0,860.0,103.0,26.83279378942558,0.08354265366806723,0.08095777325204356,0.07407373650205895,0.07203600107490071
30.0,966.0,863.0,103.0,26.927174366488504,0.09549172867648292,0.09254726739791319,0.08162247415539858,0.07940298766716303
40.0,971.0,867.0,104.0,27.103384653800532,0.11583406603444701,0.11229638323562119,0.09161150318915723,0.08915890712475982
50.0,975.0,871.0,104.0,27.264682191190836,0.13232857690231792,0.1282639104675375,0.0966208196133792,0.09405449852001668
