Wavelength_nm,R_front,T_front,R_stack,R_total,d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
679.0,0.04193131469631514,0.9580686853036848,0.04870669964426032,0.08673047520689858,13.0,693.5,8.5,-0.00017134094180987908,-0.00015791861686811903
680.0,0.04193131469631514,0.9580686853036848,0.04724521589038681,0.08538357202411881,13.0,693.5,8.5,-0.00016484894932218552,-0.00015191648754159237
681.0,0.04193131469631514,0.9580686853036848,0.04619010962197048,0.0844112890729575,13.0,693.5,8.5,-0.00015679745672012024,-0.00014448377846359994
682.0,0.04193131469631514,0.9580686853036848,0.04529393154766745,0.0835855265309153,13.0,693.5,8.5,-0.0001549763899589482,-0.00014279496055279173
683.0,0.04193131469631514,0.9580686853036848,0.04431388605253461,0.08268255747200137,13.0,693.5,8.5,-0.00015700689474879015,-0.00014465396437073064
684.0,0.04193131469631514,0.9580686853036848,0.04350916218704619,0.08194117732630349,13.0,693.5,8.5,-0.0001548026295866145,-0.00014261346979980993
685.0,0.04193131469631514,0.9580686853036848,0.04280592512697299,0.08129333650691614,13.0,693.5,8.5,-0.00014464751160220973,-0.00013325003604056085
686.0,0.04193131469631514,0.9580686853036848,0.041740378901244726,0.08031179970899836,13.0,693.5,8.5,-0.00013056587073167342,-0.00012026711786414235
687.0,0.04193131469631514,0.9580686853036848,0.0404464638984038,0.0791200172276712,13.0,693.5,8.5,-0.00011897615166549941,-0.0001095796055576026
688.0,0.04193131469631514,0.9580686853036848,0.039583497038877404,0.07832523889013418,13.0,693.5,8.5,-0.0001114817074237967,-0.00010266958516831626
689.0,0.04193131469631514,0.9580686853036848,0.039280596176849675,0.07804628581953811,13.0,693.5,8.5,-0.00010271327568562444,-9.459181642379466e-05
690.0,0.04193131469631514,0.9580686853036848,0.038879034018913385,0.07767648270322576,13.0,693.5,8.5,-8.978470163751445e-05,-8.268266077814113e-05
691.0,0.04193131469631514,0.9580686853036848,0.03802722234548884,0.07689208102711328,13.0,693.5,8.5,-7.485873930146436e-05,-6.893237831061272e-05
692.0,0.04193131469631514,0.9580686853036848,0.03722525026004881,0.0761536260651796,13.0,693.5,8.5,-5.904556410359085e-05,-5.4367390283804884e-05
693.0,0.04193131469631514,0.9580686853036848,0.03697900127148547,0.07592689026510344,13.0,693.5,8.5,-4.266316403542941e-05,-3.9282126527262484e-05
694.0,0.04193131469631514,0.9580686853036848,0.03703234557283142,0.07597600707540866,13.0,693.5,8.5,-2.6081834755879718e-05,-2.401495138033838e-05
695.0,0.04193131469631514,0.9580686853036848,0.036966739872014334,0.07591560060233893,13.0,693.5,8.5,-8.872518231367588e-06,-8.169354948767138e-06
696.0,0.04193131469631514,0.9580686853036848,0.036812608972421584,0.07577368582966909,13.0,693.5,8.5,9.321165581187285e-06,8.58232851248808e-06
697.0,0.04193131469631514,0.9580686853036848,0.03676987856162781,0.07573434247661165,13.0,693.5,8.5,2.7882900578514447e-05,2.567266563084647e-05
698.0,0.04193131469631514,0.9580686853036848,0.0368778120818135,0.07583372083831133,13.0,693.5,8.5,4.6161482859005676e-05,4.250268529162882e-05
699.0,0.04193131469631514,0.9580686853036848,0.03710091683207299,0.07603914444326049,13.0,693.5,8.5,6.458045454169059e-05,5.946282222198118e-05
700.0,0.04193131469631514,0.9580686853036848,0.037449269002120165,0.0763598972550549,13.0,693.5,8.5,8.417951526386303e-05,7.7510973372108e-05
701.0,0.04193131469631514,0.9580686853036848,0.0378756125972269,0.07675247513446598,13.0,693.5,8.5,0.0001041107052403012,9.586660495088106e-05
702.0,0.04193131469631514,0.9580686853036848,0.0382274842417575,0.0770764897097702,13.0,693.5,8.5,0.00012063636205419948,0.00011108686882850549
703.0,0.04193131469631514,0.9580686853036848,0.038554974830939406,0.07737806204011032,13.0,693.5,8.5,0.00013242275430460498,0.00012194355226891052
704.0,0.04193131469631514,0.9580686853036848,0.039248884966512604,0.07801708215495595,13.0,693.5,8.5,0.00014525080599060713,0.00013376418768085152
705.0,0.04193131469631514,0.9580686853036848,0.04041618485930033,0.07909212975346272,13.0,693.5,8.5,0.00016337287467833167,0.00015046777922161914
706.0,0.04193131469631514,0.9580686853036848,0.04152381803903103,0.08011232360675374,13.0,693.5,8.5,0.00018177857251583385,0.00016743502976294955
707.0,0.04193131469631514,0.9580686853036848,0.04214931562191753,0.08068848479213274,13.0,693.5,8.5,0.00019615648143873204,0.00018068781108573906
708.0,0.04193131469631514,0.9580686853036848,0.042663986933399387,0.08116258388273868,13.0,693.5,8.5,0.00020896255408888592,0.00019249223117938363
709.0,0.04193131469631514,0.9580686853036848,0.04356380878338494,0.08199152083757354,13.0,693.5,8.5,0.00022163895506344122,0.00020418481124544197
710.0,0.04193131469631514,0.9580686853036848,0.0447400764388832,0.08307522064916303,13.0,693.5,8.5,0.00023138745619569884,0.0002131865949045325
711.0,0.04193131469631514,0.9580686853036848,0.04588261339847593,0.08412794678828302,13.0,693.5,8.5,0.0002390462338592303,0.00022026400867521112
712.0,0.04193131469631514,0.9580686853036848,0.046977166448325745,0.08513655565389594,13.0,693.5,8.5,0.00024813887760014725,0.00022866317160344374
713.0,0.04193131469631514,0.9580686853036848,0.04813249437746965,0.08620126800109428,13.0,693.5,8.5,0.00025871324512995175,0.00023843062773157286
714.0,0.04193131469631514,0.9580686853036848,0.049363364227838796,0.08733571103891635,13.0,693.5,8.5,0.00026868856843089567,0.0002476494154693559
715.0,0.04193131469631514,0.9580686853036848,0.05061046850371409,0.08848523637382205,13.0,693.5,8.5,0.00027616927865339175,0.000254570961526257
716.0,0.04193131469631514,0.9580686853036848,0.05178248206375846,0.08956565624345718,13.0,693.5,8.5,0.0002796546542561604,0.0002578091119747744
717.0,0.04193131469631514,0.9580686853036848,0.05282959018521404,0.09053102214205644,13.0,693.5,8.5,0.00027964101551963827,0.00025781922736603513
718.0,0.04193131469631514,0.9580686853036848,0.05381950248060351,0.09144373532084607,13.0,693.5,8.5,0.00027810158691880804,0.0002564212785986647
719.0,0.04193131469631514,0.9580686853036848,0.05484681026628751,0.0923910079748139,13.0,693.5,8.5,0.0002756681373651121,0.00025419951138179464
720.0,0.04193131469631514,0.9580686853036848,0.055838036583766,0.09330508772535179,13.0,693.5,8.5,0.0002723007373811037,0.00025111531703989054
721.0,0.04193131469631514,0.9580686853036848,0.056561242378865006,0.09397205489237656,13.0,693.5,8.5,0.0002693704650703066,0.0002484281572584651
722.0,0.04193131469631514,0.9580686853036848,0.05699429877504307,0.09437145494828711,13.0,693.5,8.5,0.00026685943629987247,0.0002461213349034125
723.0,0.04193131469631514,0.9580686853036848,0.05755238201645147,0.0948861864377917,13.0,693.5,8.5,0.0002614234326334744,0.00024111913920729644
724.0,0.04193131469631514,0.9580686853036848,0.05855685920850715,0.09581269696985945,13.0,693.5,8.5,0.0002527654675367544,0.00023315339510414368
725.0,0.04193131469631514,0.9580686853036848,0.059700534663150936,0.09686769657333247,13.0,693.5,8.5,0.00024619358541023983,0.00022711332382696625
726.0,0.04193131469631514,0.9580686853036848,0.06037481400076403,0.09748974262260118,13.0,693.5,8.5,0.00024269911724622562,0.00022390240600837774
727.0,0.04193131469631514,0.9580686853036848,0.06039139348372611,0.09750503821423191,13.0,693.5,8.5,0.00023528031888071094,0.00021705855357961878
728.0,0.04193131469631514,0.9580686853036848,0.06026554900753916,0.09738893948667905,13.0,693.5,8.5,0.0002224021536709614,0.00020517570443324973
