case_key,case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_rms_deltaR_500_650,transition_rms_deltaR_650_810,rear_rms_deltaR_810_1055,front_plus_transition_to_rear_ratio,front_to_rear_ratio,transition_to_rear_ratio,rear_best_shift_nm,rear_shift_explained_fraction,rear_aligned_rms_residual,rear_unaligned_rms_residual,rear_corr_before_shift,rear_corr_after_shift,rear_phase_slope_error,rear_dom_freq,rear_dom_freq_amplitude,rear_dom_freq_bandwidth,rear_spectral_centroid,rear_spectral_entropy,rear_sideband_energy_fraction,rear_second_peak_to_first_peak_ratio,wavelet_energy_front,wavelet_energy_transition,wavelet_energy_rear,wavelet_entropy_front,wavelet_entropy_transition,wavelet_entropy_rear,transition_peak_scale,rear_peak_scale,sim_to_thickness_template,ncc_to_thickness_template,sim_to_front_roughness_template,ncc_to_front_roughness_template,sim_to_rear_roughness_template,ncc_to_rear_roughness_template,sim_to_front_gap_template,ncc_to_front_gap_template,sim_to_rear_gap_template,ncc_to_rear_gap_template
D1_0074|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0074,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,5.0,0.0,0.007140836423266675,0.0047459583693548755,0.007833890354749127,1.5173552672224264,0.911531320953158,0.6058239462692684,-3.0,0.39201553541734546,0.0047628836329313695,0.007833890354749127,0.996848491081788,0.9994748113177745,1.7295975882371759e-12,3506.6666666666674,2.6330063141188747e-05,3506.6666666666674,3644.8629552642233,0.03470567349821137,0.002548927955473641,0.0,0.08659132490831456,0.5992109784126977,0.3196213399976874,0.6929310532726565,0.6289445305643846,0.4354679415851214,51.17684679146138,64.0,0.009002058847037921,0.5221516198909578,-0.05253268060604319,0.39024317252876956,-0.37732846164854805,0.7313514804477868,0.9192674754323078,0.9616781547768478,0.536488059004117,0.6486755608530879
D1_0075|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0075,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,10.0,0.0,0.012721810348981233,0.010034825473605737,0.015637391505159783,1.4552705810990336,0.8135506708253412,0.6417199102736925,-5.0,0.4012445565972692,0.00936297328433404,0.015637391505159783,0.9871655283851096,0.9982572821256751,1.3544816794746144e-12,3529.045643153527,6.064194314360725e-05,3529.045643153527,3668.1766244185383,0.03477615580081901,0.0025497268153218304,0.0,0.05014463003576384,0.6404612116112031,0.31497932200933887,0.6824824956096561,0.6323431501600776,0.4434351366632519,64.0,64.0,0.04973004978226964,0.5328367285730363,-0.011816076437874062,0.4039190566100598,-0.3797895588155479,0.7446184718478681,0.9433823126548221,0.9719641891358278,0.5530226389435636,0.6491947926887706
D1_0076|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0076,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,15.0,0.0,0.016755440603495046,0.015838286463310796,0.02333638722128352,1.3966912169283572,0.7179963395625162,0.678694877365841,-8.0,0.39737408079397507,0.014063111800173715,0.02333638722128352,0.9706968609400647,0.9964094818641348,1.3302544573999326e-12,3563.319327731092,0.00011742311057559525,3563.319327731092,3703.8831087869535,0.03485288525872746,0.002550949624017337,0.0,0.02612836714782764,0.6735464625279237,0.306031871922886,0.6618765251453234,0.632680180554925,0.4499116987832021,64.0,64.0,0.09297636822447346,0.5410484166065652,0.03123419873968768,0.4162867253117619,-0.3780866636110665,0.7549167879918218,0.9602778587606107,0.9787665129573612,0.5652673373112835,0.647370222666863
D1_0003|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0003,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0084|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0084,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,0.5,0.0,0.0007830176056722145,0.0006476164881906063,0.0008178340917210151,1.7492962305499584,0.9574284241739859,0.7918678063759726,0.0,0.0,0.0008178340917210142,0.0008178340917210142,0.9999648414935365,0.9999648414935365,0.0,3473.7804878048787,9.477151197450646e-09,3473.7804878048787,3610.604456534014,0.03457234973345914,0.0025477534087338643,0.0,0.05051243968891761,0.6858962839716649,0.27053798480035995,0.6984399117220066,0.5625564838673969,0.43587668592407486,64.0,64.0,0.42173707716197495,0.5213431986441353,0.320390504665127,0.475909757357943,-0.23747541140386055,0.7056624383409821,0.9755188581906016,0.9820969254885162,0.46391185104387067,0.6054292219755806
D1_0085|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0085,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,1.0,0.0,0.0015510388453921396,0.0013022712979399711,0.0016359526967003127,1.7441275344251617,0.9480951671283389,0.7960323672968228,0.0,0.0,0.0016359526967003137,0.0016359526967003137,0.999859042603491,0.999859042603491,0.0,3473.7804878048787,3.683873413966545e-08,3473.7804878048787,3610.604456534014,0.03457234973345891,0.0025477534087338526,0.0,0.04860989243773714,0.6873031588483385,0.27104415283389255,0.6979301828090841,0.5618836143977461,0.43592148072018766,64.0,64.0,0.42633819426082237,0.5235400145620851,0.3248901328191132,0.4776344852910135,-0.23431272117120758,0.7063840164698748,0.9747671970002824,0.9818140543784579,0.46215379086506914,0.6043147807493661
D1_0086|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0086,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,2.0,0.0,0.0030416531163593237,0.0026320516401190748,0.0032727062227236475,1.7336431596223647,0.9293999856265638,0.8042431739958009,-1.0,0.31544802105884095,0.0022403375212585192,0.0032727062227236488,0.9994336523699967,0.9998587665521147,0.0,3484.65306122449,5.7109889393402335e-06,3484.65306122449,3621.9305747390245,0.03463609508576629,0.00254814180886707,0.0,0.044949427967306096,0.6899562191861072,0.2720714311606835,0.6968348112859486,0.5605250778351114,0.4359910158013036,64.0,64.0,0.4354740911484834,0.5280811394624033,0.33385856403345165,0.48113537530990513,-0.2278857027087247,0.7076671253683119,0.9730576234613523,0.9814539570836179,0.45850644764987175,0.6019469573050199
D1_0087|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0087,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,3.0,0.0,0.004471059322919609,0.003988036879333527,0.004909588960954852,1.7229744219988534,0.9106789506162744,0.812295471382579,-1.0,0.32219581955959353,0.003327739921979267,0.004909588960954847,0.9987202624200323,0.9996546583675965,0.0,3484.65306122449,4.944244707190158e-06,3484.65306122449,3621.9305747390254,0.03463609508576663,0.002548141808867114,0.0,0.04147750825366387,0.6924013525569788,0.27311659895200535,0.6956259969092679,0.5591518121068434,0.43603477588226375,64.0,64.0,0.44451323620650124,0.532701695531857,0.34277815167089204,0.4844464382116443,-0.22132572068886472,0.7090773935806401,0.9710729765593248,0.9808013937446152,0.4546835882706604,0.5997156139828316
D1_0088|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0088,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,5.0,0.0,0.007143870459952043,0.0067733072065997305,0.00818108229166567,1.7011413857466813,0.8732182619932489,0.8279231237534324,-2.0,0.33170740804520005,0.005467356689692765,0.00818108229166567,0.9964166606907694,0.9991573648871616,0.0,3495.614754098361,2.2399246419230385e-05,3495.614754098361,3633.349690939425,0.03464113377426734,0.0025485333120243746,0.0,0.03507906903749168,0.6966978605252303,0.27525079794518226,0.6927967650622197,0.5563719129912279,0.43604930524763463,64.0,64.0,0.4622618281989929,0.5412565935681987,0.3604336253845374,0.49101762242971453,-0.20782069294268657,0.7113680567454301,0.9662804609071831,0.9786192904997111,0.44651042253651885,0.5949008200721394
D1_0089|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0089,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,10.0,0.0,0.01272884507792205,0.014101139123754526,0.01631627472235142,1.644369481283775,0.7801318189675365,0.8642376623162386,-4.0,0.3225430463457811,0.01105357376838953,0.01631627472235142,0.9854252187152679,0.9965422887919807,0.0,3517.809917355373,9.84054568357075e-05,3517.809917355373,3656.471536886429,0.03471080442616965,0.002549325777080914,0.0,0.02204001030302343,0.7043150576721076,0.2807268971833077,0.6820490253881617,0.5493449350241175,0.43570355085269524,64.0,64.0,0.5042667448547467,0.5621704380607124,0.40307378952608847,0.5069886871398378,-0.17200798185439917,0.7160135939550442,0.9495759934073712,0.9704126436964728,0.42303222680615,0.5822047056188133
D1_0090|front_gap_on_background|anchor_03_pvk710|D1_0003,D1_0090,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,15.0,0.0,0.01676759257250558,0.021816341981079918,0.02432742851527023,1.5860260170682041,0.6892464019360134,0.8967796151321906,-6.0,0.3139741616330137,0.01668924454250119,0.02432742851527023,0.9668109328027449,0.9920622556390665,0.0,3540.3750000000005,0.0002393599479225845,3540.3750000000005,3679.979426318589,0.03478138145700956,0.0025501311092948568,0.0,0.012787067641111663,0.7081560033135857,0.28615496605550866,0.6607424057250932,0.5424326182971314,0.43488571975184226,64.0,64.0,0.5420248920806688,0.5808286281920747,0.4427096442615133,0.5214744891033505,-0.13378137768006074,0.7183416452648382,0.9264629754624658,0.9580573678952945,0.39540074923738866,0.5687338186336246
D1_0004|front_gap_on_background|anchor_04_front5|D1_0004,D1_0004,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
