Wavelength_nm,Absolute_Reflectance_Measured,Absolute_Reflectance_Theory,Absolute_Reflectance_Physical,Residual,Front_Scatter_Factor,Rear_ZScore_Measured,Rear_ZScore_Theory,window_label
508.2561848485058,0.0210204768899595,0.015074764645958218,0.08683350505035205,-0.005945712244001283,0.2449984112393544,,,front
508.6798239145338,0.0211429681071728,0.01513872670990912,0.0871443947971072,-0.006004241397263681,0.2455728097557145,,,front
509.103452865553,0.0211968332540524,0.01520213951806908,0.08744178533135638,-0.005994693735983318,0.24614710287645092,,,front
509.52707169620766,0.0213262453376453,0.015263682340243539,0.08770239587799211,-0.006062562997401762,0.24672128845972158,,,front
509.95068040114126,0.0213917645685301,0.01532525514364721,0.08796033310123823,-0.006066509424882889,0.24729536437419075,,,front
510.3742789749982,0.0215967468752692,0.01538595960425446,0.08819981851273906,-0.006210787271014741,0.2478693284990075,,,front
510.7978674124242,0.0217008633090297,0.015446557747022423,0.08843445502480572,-0.006254305562007276,0.24844317872377877,,,front
511.22144570806415,0.0218176749454008,0.015508202065159685,0.08868440436709729,-0.006309472880241116,0.24901691294854175,,,front
511.6450138565648,0.0218705286946886,0.015570818488073249,0.08894816565254755,-0.00629971020661535,0.2495905290837407,,,front
512.0685718525717,0.0220425591981478,0.015633731193555538,0.08921386743832076,-0.006408828004592262,0.250164025050197,,,front
512.492119690733,0.0221101462700308,0.0156980660464641,0.08950084268409038,-0.0064120802235667,0.2507373987790882,,,front
512.9156573656956,0.0222109402172931,0.015762448340509237,0.08978525974775904,-0.006448491876783861,0.251310648211916,,,front
513.3391848721076,0.0223822278066889,0.015825640668695323,0.09004606118500293,-0.0065565871379935775,0.251883771300484,,,front
513.7627022046171,0.0224709652230691,0.015888553326828824,0.09029900785816253,-0.006582411896240276,0.25245676600686834,,,front
514.186209357874,0.0224925541844143,0.01595049127649318,0.09053246571560818,-0.0065420629079211215,0.2530296303033949,,,front
514.6097063265271,0.0225752264477988,0.016011159204442234,0.0907417316763337,-0.006564067243356564,0.2536023621726079,,,front
515.0331931052264,0.0226961418736711,0.016071825838422066,0.09094836268446664,-0.0066243160352490345,0.25417495960724606,,,front
515.4566696886229,0.0227265653479049,0.016132549632067415,0.0911533659003488,-0.006594015715837485,0.25474742061021655,,,front
515.880136071367,0.0229017754178027,0.016193265113397436,0.09135567528156201,-0.006708510304405266,0.25531974319456474,,,front
516.3035922481106,0.0229333077784156,0.016254837937671143,0.09156961710745395,-0.006678469840744456,0.2558919253834507,,,front
516.7270382135054,0.0230891984671751,0.016316755982375617,0.09178661584284262,-0.006772442484799482,0.2564639652101196,,,front
517.150473962204,0.023100143082307,0.016378601097018417,0.09199978608911573,-0.006721541985288584,0.25703586071787676,,,front
517.5738994888592,0.0232177097367145,0.01644030757414479,0.09220810625381003,-0.006777402162569713,0.25760760996005816,,,front
517.9973147881248,0.0233632921608529,0.01650201117684939,0.09241384051349542,-0.0068612809840035115,0.2581792110000052,,,front
518.4207198546541,0.0233866713045714,0.016562644819185453,0.0925997920278627,-0.006824026485385947,0.2587506619110357,,,front
518.8441146831024,0.0234066012908896,0.016623250679224714,0.09278297365213209,-0.006783350611664886,0.25932196077641867,,,front
519.2674992681236,0.0234935891879178,0.016684119413771334,0.0929680721986764,-0.006809469774146468,0.2598931056893434,,,front
519.6908736043739,0.0236122801307373,0.016745133878862273,0.09315319454123161,-0.006867146251875025,0.2604640947528959,,,front
520.1142376865096,0.0236806222133463,0.016806463048678402,0.0933410195501148,-0.006874159164667899,0.26103492608002943,,,front
520.5375915091861,0.0237926708467696,0.016868689215831425,0.09354070729755666,-0.006923981630938176,0.2616055977935349,,,front
520.9609350670613,0.0238877975768904,0.016930906463213456,0.09373785524403898,-0.006956891113676943,0.2621761080260175,,,front
521.3842683547922,0.0239736474417798,0.016991637325304693,0.09390936237329289,-0.006982010116475108,0.26274645491986487,,,front
521.807591367037,0.0239062910760294,0.017052192587318996,0.0940759947701439,-0.006854098488710405,0.26331663662722216,,,front
522.2309040984532,0.0240065852449634,0.017110499138788142,0.09420563705562351,-0.006896086106175259,0.2638866513099611,,,front
522.6542065437014,0.0240669742462676,0.017166892594738047,0.09430395414705478,-0.006900081651529555,0.2644564971396579,,,front
523.0774986974394,0.0241925671562321,0.01722295412372373,0.09439568167409268,-0.006969613032508367,0.2650261722975566,,,front
523.5007805543278,0.024196878071823,0.017277780364075877,0.09446706399342611,-0.006919097707747124,0.265595674974549,,,front
523.9240521090273,0.0243526531869847,0.017332514576847702,0.09453580551035376,-0.007020138610136999,0.2661650033711435,,,front
524.3473133561988,0.024405835780566,0.01738903122089315,0.09463041713218906,-0.007016804559672851,0.26673415569743586,,,front
