feature_name,anova_f_score,anova_p_value,eta_squared,thickness_nuisance_mean,thickness_nuisance_std,front_roughness_nuisance_mean,front_roughness_nuisance_std,rear_roughness_nuisance_mean,rear_roughness_nuisance_std,front_gap_on_background_mean,front_gap_on_background_std,rear_gap_on_background_mean,rear_gap_on_background_std,rank_by_f_score,recommended_for_routing
transition_to_rear_ratio,4.439028217434633,0.0019672336157146968,0.09769197079200331,0.7205988385758465,0.19426856441313417,0.4625251050923322,0.32893108664330156,0.9206731263653903,0.6510224415550327,0.6262816533139645,0.24593967290074034,0.5525524683789855,0.23812623992817164,27,False
rear_spectral_centroid,3.3694356650071526,0.011126567520477863,0.07594046700180439,3750.6538911891735,548.9612398872564,2437.885998495601,1723.8734084261685,2407.0696376893484,1702.0552635983843,3183.1428629129127,1203.433006326494,3200.240588657456,1210.309057637647,28,False
rear_dom_freq,3.3668828642987134,0.011172442880127467,0.07588729806862267,3608.1618698713073,528.0568784313047,2345.45267489712,1658.5121287345821,2315.853658536586,1637.555826186895,3062.465596303055,1157.8078449593445,3078.877421570319,1164.4071328652767,29,False
rear_dom_freq_bandwidth,3.3668828642987134,0.011172442880127467,0.07588729806862267,3608.1618698713073,528.0568784313047,2345.45267489712,1658.5121287345821,2315.853658536586,1637.555826186895,3062.465596303055,1157.8078449593445,3078.877421570319,1164.4071328652767,30,False
wavelet_energy_transition,2.8750492133908647,0.02459214515316859,0.06552811369869369,0.6674125720035432,0.09535218334549601,0.3759160748792878,0.26599143414787907,0.4310720231618279,0.30481754974280256,0.5911254336725597,0.22660656939834403,0.5918648649965016,0.22423000261340809,31,False
wavelet_entropy_transition,2.7764239939527893,0.028774765505508115,0.06342281394058867,0.5465103129967914,0.1026818945724204,0.31507067217250045,0.22286601054212735,0.3325310078137685,0.2351601083363265,0.5221883168918144,0.19841592162078708,0.4783512578704019,0.1873710435872637,32,False
rear_spectral_entropy,2.301905635347257,0.06078428907112039,0.053159453413713434,0.03437472612795866,0.004868932358413321,0.023137115665475133,0.016360411384154963,0.023048233155640547,0.016297561958722052,0.030335534839421245,0.011466084407642182,0.030381056591219487,0.01148369122677062,33,False
transition_peak_scale,2.218502057881663,0.06920454362196787,0.051332229305644815,62.78431372549019,8.596200085012931,43.333333333333336,29.227080289043965,43.333333333333336,29.227080289043965,55.20038799186596,20.35511729146842,56.25,20.504572660750576,34,False
rear_sideband_energy_fraction,2.0830760799371015,0.08531415702729125,0.0483502170567423,0.0025031336728926837,0.00035401052883345075,0.0016992853036491371,0.0012015761613809464,0.001698502272489347,0.0012010224747379783,0.002230102205783615,0.0008428999382104925,0.0022306878383403735,0.0008431219853377563,35,False
rear_peak_scale,2.0444513930519674,0.09053017864698354,0.04749628179445149,62.78431372549019,8.596200085012931,43.333333333333336,29.227080289043965,43.333333333333336,29.227080289043965,56.25,20.504572660750576,56.25,20.504572660750576,36,False
wavelet_entropy_rear,1.6258523663782647,0.17013343805573,0.03814240129214817,0.41060174596717836,0.06463710864515178,0.2996255298092217,0.21192929176047012,0.2869511305353143,0.2029056646029855,0.39358754931386775,0.14926568228066375,0.36478329953759087,0.13902459947748477,37,False
rear_best_shift_nm,1.2254011037551187,0.30206569994844296,0.029020472789449567,0.09803921568627451,14.874975566907972,0.0,2.449489742783178,0.0,0.0,-2.0714285714285716,2.506114970406976,-3.517857142857143,3.7984539685272494,38,False
rear_phase_slope_error,0.6951170778688156,0.596346608886297,0.0,3.1781474496395717e-13,1.5332300040267933e-12,0.0,0.0,0.0,0.0,8.694097736512599e-13,3.966616791526458e-12,1.4493526373048362e-13,3.878062067857347e-13,39,False
d_PVK_nm,0.0,1.0,0.0,700.0,14.719601443879744,700.0,0.0,700.0,0.0,700.0,5.3452248382484875,700.0,5.3452248382484875,40,False
d_BEMA_front_nm,0.0,1.0,0.0,10.0,0.0,10.0,4.08248290463863,10.0,0.0,10.0,2.6726124191242437,10.0,2.6726124191242437,41,False
d_BEMA_rear_nm,0.0,1.0,0.0,20.0,0.0,20.0,0.0,20.0,8.16496580927726,20.0,5.3452248382484875,20.0,5.3452248382484875,42,False
rear_second_peak_to_first_peak_ratio,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,False
