family,Wavelength_nm,mean_deltaR_total,std_deltaR_total
thickness_nuisance,545.0,1.9699683887470003e-06,1.7904486477554903e-06
thickness_nuisance,546.0,2.316357859584042e-06,2.2487542731024855e-06
thickness_nuisance,547.0,2.634824296850817e-06,2.7802343475487984e-06
thickness_nuisance,548.0,2.959033678807927e-06,3.426356812405425e-06
thickness_nuisance,549.0,3.31289324379171e-06,4.2312583266524376e-06
thickness_nuisance,550.0,3.6574800761294964e-06,5.171048466891121e-06
thickness_nuisance,551.0,3.943584928479279e-06,6.189914729949914e-06
thickness_nuisance,552.0,4.1426783690632725e-06,7.2380829624434895e-06
thickness_nuisance,553.0,4.247044544437834e-06,8.290032959671657e-06
thickness_nuisance,554.0,4.3024044706629905e-06,9.439207418173758e-06
thickness_nuisance,555.0,4.356871512515772e-06,1.082347301041006e-05
thickness_nuisance,556.0,4.3969817860742e-06,1.2440088952701097e-05
thickness_nuisance,557.0,4.365629980804634e-06,1.4217622884021998e-05
thickness_nuisance,558.0,4.129041099627289e-06,1.604527193831117e-05
thickness_nuisance,559.0,3.5553228918841116e-06,1.77207979768779e-05
thickness_nuisance,560.0,2.685705118405205e-06,1.9206000468211226e-05
thickness_nuisance,561.0,1.624512499622984e-06,2.069899853648847e-05
thickness_nuisance,562.0,4.6095432948776857e-07,2.2474815195712002e-05
thickness_nuisance,563.0,-7.613932295004265e-07,2.487113358453332e-05
thickness_nuisance,564.0,-2.1885804729174718e-06,2.760649682675311e-05
thickness_nuisance,565.0,-3.893454104353976e-06,2.9366456287631705e-05
thickness_nuisance,566.0,-5.625709719988776e-06,2.974622615828866e-05
thickness_nuisance,567.0,-7.359769145707447e-06,3.0266363221128306e-05
thickness_nuisance,568.0,-9.676904556266621e-06,3.159328827700655e-05
thickness_nuisance,569.0,-1.319674551977572e-05,3.237924348803624e-05
thickness_nuisance,570.0,-1.756805223532875e-05,3.186441565622402e-05
thickness_nuisance,571.0,-2.152964916166993e-05,3.104740508443959e-05
thickness_nuisance,572.0,-2.4436145248894022e-05,3.050660252616554e-05
thickness_nuisance,573.0,-2.6964896982794106e-05,3.0127360801183582e-05
thickness_nuisance,574.0,-2.998326836301812e-05,3.0103445032629105e-05
thickness_nuisance,575.0,-3.390647686540767e-05,3.0871517288472856e-05
thickness_nuisance,576.0,-3.8789885297883536e-05,3.344590890688645e-05
thickness_nuisance,577.0,-4.365989689201877e-05,3.808710819776186e-05
thickness_nuisance,578.0,-4.705626136452436e-05,4.294452575216545e-05
thickness_nuisance,579.0,-4.940886703994306e-05,4.830569042184778e-05
thickness_nuisance,580.0,-5.268615192165493e-05,5.7455760255765776e-05
thickness_nuisance,581.0,-5.7032714651233264e-05,7.072891874683415e-05
thickness_nuisance,582.0,-6.028587810610048e-05,8.364439023054459e-05
thickness_nuisance,583.0,-6.153826591809719e-05,9.394906530299202e-05
thickness_nuisance,584.0,-6.267857901086028e-05,0.00010518435952201475
thickness_nuisance,585.0,-6.450620856441717e-05,0.00012036121297978978
thickness_nuisance,586.0,-6.470079959876475e-05,0.0001372098311793722
thickness_nuisance,587.0,-6.179159080143928e-05,0.0001524207375810673
thickness_nuisance,588.0,-5.787626002296466e-05,0.00016900388934349466
thickness_nuisance,589.0,-5.477972592821959e-05,0.00019156345176335425
thickness_nuisance,590.0,-5.154650606358557e-05,0.0002160053200548827
thickness_nuisance,591.0,-4.688790727639528e-05,0.00023452427926399434
thickness_nuisance,592.0,-4.086346975796886e-05,0.00024745701948949956
thickness_nuisance,593.0,-3.3679151623897744e-05,0.00025949624836083977
thickness_nuisance,594.0,-2.4578955937637947e-05,0.0002734299649279909
thickness_nuisance,595.0,-1.2482007101404175e-05,0.00029035037888841867
thickness_nuisance,596.0,2.9196890870967516e-06,0.0003069227963568475
thickness_nuisance,597.0,2.0449817775084974e-05,0.00031626821611806255
thickness_nuisance,598.0,3.688936931324227e-05,0.000320380221829252
thickness_nuisance,599.0,5.1301854154066354e-05,0.00033046147674615107
thickness_nuisance,600.0,6.916981107638394e-05,0.00034374352405372856
thickness_nuisance,601.0,9.407924072777812e-05,0.00033968641764617195
thickness_nuisance,602.0,0.00011868789218613748,0.0003165506828636738
thickness_nuisance,603.0,0.00013879613718388218,0.0003002351338941794
thickness_nuisance,604.0,0.00015936799666608763,0.00030161803509034797
thickness_nuisance,605.0,0.00018125634009192462,0.00030713118932447747
thickness_nuisance,606.0,0.0002026202233265748,0.0003013559143946841
thickness_nuisance,607.0,0.0002265041033347522,0.0002810639541476762
thickness_nuisance,608.0,0.0002530601027122787,0.000258587874543798
thickness_nuisance,609.0,0.00027578119274907577,0.0002499176584799289
thickness_nuisance,610.0,0.0002910177166074375,0.000252597217107059
thickness_nuisance,611.0,0.0003019060330245269,0.0002598088107658961
thickness_nuisance,612.0,0.00031322476156159555,0.00027357217068189557
thickness_nuisance,613.0,0.000328954971072713,0.0003045610698986687
thickness_nuisance,614.0,0.0003515159967211489,0.00037003739356190586
thickness_nuisance,615.0,0.0003760232281554403,0.0004610277279522199
thickness_nuisance,616.0,0.0003907588789821892,0.0005368303662245224
thickness_nuisance,617.0,0.00039170328197538973,0.0005845783703311534
thickness_nuisance,618.0,0.0003904429326518885,0.0006316623508018607
thickness_nuisance,619.0,0.00039139875582650544,0.0007045000014359062
thickness_nuisance,620.0,0.0003835617148784227,0.0008070690792054586
thickness_nuisance,621.0,0.0003627426451416794,0.0009179954617671703
thickness_nuisance,622.0,0.0003365657381534742,0.001009638101894379
thickness_nuisance,623.0,0.00030758087547051055,0.0010764233230203383
thickness_nuisance,624.0,0.0002738502635425681,0.0011397782940875407
thickness_nuisance,625.0,0.00023770610895620966,0.001216806979038279
thickness_nuisance,626.0,0.00020300663444023498,0.001296494927334825
thickness_nuisance,627.0,0.00017125402119945302,0.0013624289937162841
thickness_nuisance,628.0,0.00014315186673721975,0.0014300069081540257
thickness_nuisance,629.0,0.00011297687551012354,0.0015301187390212797
thickness_nuisance,630.0,5.854927442289018e-05,0.0016330070028071411
thickness_nuisance,631.0,-2.7333739343578592e-05,0.0016511311778274376
thickness_nuisance,632.0,-0.00010612438999945267,0.0016013788962227404
thickness_nuisance,633.0,-0.00016037647488007845,0.0016065113958597397
thickness_nuisance,634.0,-0.0002182531481458215,0.0016836811486351572
thickness_nuisance,635.0,-0.00029554449861143915,0.001724744791194026
thickness_nuisance,636.0,-0.0003768502118431588,0.0016775023576726309
thickness_nuisance,637.0,-0.0004562888063449472,0.001607159144937916
thickness_nuisance,638.0,-0.0005372466074821844,0.00156881982921685
thickness_nuisance,639.0,-0.0006119744850664902,0.0015586682912128874
thickness_nuisance,640.0,-0.0006829928597040314,0.0015401210654000619
thickness_nuisance,641.0,-0.0007668804709042142,0.0014814383714188794
thickness_nuisance,642.0,-0.000860464838033829,0.001401338762727098
thickness_nuisance,643.0,-0.000938947335247215,0.001341569984805865
thickness_nuisance,644.0,-0.0009946832442600066,0.001284819406988303
thickness_nuisance,645.0,-0.001053477801863853,0.0011878721234052944
thickness_nuisance,646.0,-0.0011321737501331062,0.0010885363238610961
thickness_nuisance,647.0,-0.0012102873129837732,0.0010612454750888942
thickness_nuisance,648.0,-0.0012613050883727088,0.0010928747764962028
thickness_nuisance,649.0,-0.001288856446362818,0.0011621382976370568
thickness_nuisance,650.0,-0.001319147304181485,0.001297801985271252
thickness_nuisance,651.0,-0.0013612314923408426,0.001485564239766439
thickness_nuisance,652.0,-0.0013974285757085599,0.001664794585292439
thickness_nuisance,653.0,-0.0014088152635041546,0.0018353875269840358
thickness_nuisance,654.0,-0.0013939419464173224,0.0020425734479703975
thickness_nuisance,655.0,-0.0013638114128582467,0.0022865816154115535
thickness_nuisance,656.0,-0.0013356041815035919,0.0025541047340508316
thickness_nuisance,657.0,-0.0013157372572163949,0.002853034618738195
thickness_nuisance,658.0,-0.00128560198500003,0.0031595078982578984
thickness_nuisance,659.0,-0.0012243642987662634,0.0034340034729671903
thickness_nuisance,660.0,-0.0011315884575253475,0.003677220138288215
thickness_nuisance,661.0,-0.0010295045179392927,0.0038921562092512794
thickness_nuisance,662.0,-0.0009555189346967516,0.0040868644009106605
thickness_nuisance,663.0,-0.0009051983716129079,0.004316573469901469
thickness_nuisance,664.0,-0.0008049287098235942,0.004601911376518774
thickness_nuisance,665.0,-0.0006219220289044977,0.0048484883295439405
thickness_nuisance,666.0,-0.00044373740816328245,0.004990842604448828
thickness_nuisance,667.0,-0.0003320167838145276,0.005100012522911803
thickness_nuisance,668.0,-0.00022656661758599248,0.0052141807625088405
thickness_nuisance,669.0,-6.895015438385655e-05,0.005286352771507265
