d_PVK_nm,thickness_scan_cost
612.0,0.04166961028487251
613.0,0.04161795660152129
614.0,0.041569117033803865
615.0,0.04152312623658246
616.0,0.041480011174876465
617.0,0.04143979146772735
618.0,0.04140247973548902
619.0,0.04136808194839231
620.0,0.04133659777450709
621.0,0.041308020925478306
622.0,0.04128233949864185
623.0,0.04125953631433434
624.0,0.04123958924739708
625.0,0.041222471552040126
626.0,0.04120815217937923
627.0,0.0411965960870863
628.0,0.041187764540705774
629.0,0.04118161540628485
630.0,0.04117810343404748
631.0,0.041177180532910154
632.0,0.041178796035694576
633.0,0.041182896954938035
634.0,0.041189428229238496
635.0,0.041198332960099025
636.0,0.0412095526392553
637.0,0.04122302736648286
638.0,0.04123869605788587
639.0,0.041256496644669995
640.0,0.04127636626239636
641.0,0.04129824143070372
642.0,0.04132205822347212
643.0,0.04134775242938299
644.0,0.041375259702809745
645.0,0.04140451570494859
646.0,0.04143545623507226
647.0,0.04146801735176111
648.0,0.04150213548393504
649.0,0.0415377475314785
650.0,0.04157479095521853
651.0,0.04161320385598367
652.0,0.0416529250424404
653.0,0.04169389408737355
654.0,0.04173605137205022
655.0,0.04177933811828182
656.0,0.04182369640778014
657.0,0.04186906918838851
658.0,0.041915400266762874
659.0,0.04196263428707894
660.0,0.04201071669535332
661.0,0.04205959368899045
662.0,0.042109212151204486
663.0,0.042159519570018476
664.0,0.04221046394161426
665.0,0.04226199365789686
666.0,0.0423140573782502
667.0,0.04236660388559679
668.0,0.04241958192703633
669.0,0.04247294003952703
670.0,0.042526626361291266
671.0,0.042580588429873716
672.0,0.042634772968056955
673.0,0.042689125659144594
674.0,0.04274359091345559
675.0,0.042798111628231966
676.0,0.04285262894354338
677.0,0.04290708199716958
678.0,0.042961407681851534
679.0,0.043015540408714054
680.0,0.0430694118810696
681.0,0.043122950883201554
682.0,0.04317608308908518
683.0,0.04322873089631932
684.0,0.043280813290797554
685.0,0.04333224574782671
686.0,0.043382940175486204
687.0,0.0434328049059967
688.0,0.04348174474071304
689.0,0.043529661054060476
690.0,0.04357645196127945
691.0,0.043622012554223856
692.0,0.04366623520866307
693.0,0.043709009965567897
694.0,0.043750224987719466
695.0,0.043789767091677874
696.0,0.0438275223537026
697.0,0.043863376786653835
698.0,0.04389721708325612
699.0,0.04392893141941194
700.0,0.04395841030955938
701.0,0.04398554750442534
702.0,0.04401024091998778
703.0,0.044032393585084
704.0,0.044051914593939374
705.0,0.0440687200489963
706.0,0.0440827339788396
707.0,0.04409388921578036
708.0,0.04410212821780122
709.0,0.0441074038200957
710.0,0.04410967990235344
711.0,0.04410893195923582
712.0,0.04410514756312503
713.0,0.04409832671016989
714.0,0.044088482042840105
715.0,0.04407563894457069
716.0,0.04405983550456002
717.0,0.04404112235330003
718.0,0.044019562371891426
719.0,0.04399523028055374
720.0,0.043968212113914606
721.0,0.04393860459259203
722.0,0.04390651440222286
723.0,0.043872057392400646
724.0,0.04383535770894652
725.0,0.043796546873537796
726.0,0.043755762824964184
727.0,0.04371314893618802
728.0,0.04366885302097853
729.0,0.043623026343206285
730.0,0.04357582264096324
731.0,0.04352739717656295
732.0,0.043477905822219914
733.0,0.04342750418985588
734.0,0.04337634681207737
735.0,0.04332458637995629
736.0,0.043272373041859984
737.0,0.04321985376625126
738.0,0.04316717177013842
739.0,0.043114466013720314
740.0,0.043061870760756196
741.0,0.0430095152033041
742.0,0.04295752314871702
743.0,0.04290601276616497
744.0,0.0428550963894575
745.0,0.04280488037256859
746.0,0.04275546499400605
747.0,0.04270694440600821
748.0,0.042659406624481686
749.0,0.042612933555601896
750.0,0.04256760105507205
751.0,0.04252347901616328
752.0,0.04248063148282925
753.0,0.04243911678439024
754.0,0.04239898768850827
755.0,0.042360291569414926
756.0,0.04232307058860255
757.0,0.04228736188543991
758.0,0.04225319777542119
759.0,0.04222060595399753
760.0,0.042189609704170405
761.0,0.04216022810624418
762.0,0.04213247624833825
763.0,0.042106365436447184
764.0,0.042081903403009546
765.0,0.042059094513102024
766.0,0.04203793996751532
767.0,0.0420184380020932
768.0,0.042000584082825435
769.0,0.0419843710962812
770.0,0.041969789535051656
771.0,0.041956827677940824
772.0,0.04194547176470217
773.0,0.0419357061651669
774.0,0.04192751354264891
775.0,0.041920875011541125
776.0,0.04191577028904107
777.0,0.04191217784095862
778.0,0.04191007502156867
779.0,0.041909438207474864
780.0,0.041910242925449974
781.0,0.04191246397421276
782.0,0.0419160755400923
783.0,0.04192105130651807
784.0,0.04192736455725892
785.0,0.04193498827331614
786.0,0.04194389522335624
787.0,0.04195405804754733
788.0,0.04196544933464052
789.0,0.04197804169211388
790.0,0.04199180780917281
791.0,0.04200672051237599
792.0,0.04202275281363318
793.0,0.042039877950297254
794.0,0.042058069417052965
795.0,0.04207730098928408
796.0,0.042097546737585624
797.0,0.042118781033073566
798.0,0.042140978543136746
799.0,0.042164114217271405
800.0,0.042188163262642
801.0,0.04221310110902159
802.0,0.04223890336278355
803.0,0.042265545749643835
804.0,0.04229300404589271
805.0,0.04232125399790452
806.0,0.04235027122977968
807.0,0.042380031139051644
808.0,0.04241050878048737
809.0,0.04244167873812275
810.0,0.0424735149858055
811.0,0.042505990736669094
