d_PVK_nm,thickness_scan_cost
535.0,0.040360012413719434
536.0,0.04034220489801583
537.0,0.04032210731960572
538.0,0.0402997895055551
539.0,0.040275326195514556
540.0,0.04024879681498902
541.0,0.04022028523166707
542.0,0.04018987949585405
543.0,0.040157671566168646
544.0,0.04012375702176697
545.0,0.04008823476245351
546.0,0.04005120669811998
547.0,0.04001277742902408
548.0,0.03997305391847602
549.0,0.039932145159544095
550.0,0.03989016183741917
551.0,0.03984721598909216
552.0,0.039803420661999316
553.0,0.03975888957327583
554.0,0.03971373677123129
555.0,0.03966807630062003
556.0,0.03962202187322677
557.0,0.0395756865452238
558.0,0.039529182402681606
559.0,0.03948262025653051
560.0,0.039436109348179114
561.0,0.03938975706689571
562.0,0.03934366867995396
563.0,0.03929794707643464
564.0,0.03925269252546226
565.0,0.039208002449540647
566.0,0.039163971213535945
567.0,0.0391206899297404
568.0,0.039078246279336246
569.0,0.0390367243504682
570.0,0.038996204493025065
571.0,0.038956763190127655
572.0,0.038918472946221694
573.0,0.03888140219158224
574.0,0.038845615202949185
575.0,0.03881117203993438
576.0,0.0387781284967679
577.0,0.03874653606888633
578.0,0.03871644193380773
579.0,0.038687888945687726
580.0,0.038660915642909174
581.0,0.038635556268021516
582.0,0.038611840799318606
583.0,0.03858979499332264
584.0,0.03856944043742726
585.0,0.03855079461194496
586.0,0.038533870960802394
587.0,0.038518678970130255
588.0,0.038505224254003746
589.0,0.0384935086466032
590.0,0.03848353030008193
591.0,0.03847528378745099
592.0,0.038468760209814656
593.0,0.038463947307319495
594.0,0.038460829573209884
595.0,0.03845938837041576
596.0,0.03845960205013269
597.0,0.03846144607189018
598.0,0.03846489312464013
599.0,0.03846991324843534
600.0,0.038476473956304165
601.0,0.03848454035596583
602.0,0.038494075271066845
603.0,0.03850503936165591
604.0,0.03851739124364973
605.0,0.0385310876070769
606.0,0.03854608333291991
607.0,0.03856233160840728
608.0,0.038579784040638054
609.0,0.03859839076844929
610.0,0.038618100572464356
611.0,0.03863886098328435
612.0,0.03866061838780832
613.0,0.038683318133689006
614.0,0.038706904631949555
615.0,0.03873132145780414
616.0,0.03875651144973975
617.0,0.038782416806929954
618.0,0.03880897918506145
619.0,0.03883613979066379
620.0,0.03886383947403857
621.0,0.038892018820889857
622.0,0.03892061824275966
623.0,0.03894957806637372
624.0,0.03897883862200146
625.0,0.03900834033093135
626.0,0.03903802379215805
627.0,0.039067829868372
628.0,0.03909769977133356
629.0,0.03912757514670504
630.0,0.03915739815840275
631.0,0.03918711157251914
632.0,0.0392166588408517
633.0,0.03924598418406074
634.0,0.03927503267446247
635.0,0.03930375031844731
636.0,0.039332084138496155
637.0,0.039359982254749265
638.0,0.03938739396606406
639.0,0.03941426983047918
640.0,0.0394405617449834
641.0,0.03946622302446869
642.0,0.03949120847972811
643.0,0.03951547449434043
644.0,0.03953897910026562
645.0,0.03956168205195773
