Wavelength_nm,Glass_PVK_Counts,Glass_Ag_Counts,Glass_PVK_CountsPerMs,Glass_Ag_CountsPerMs,Valid_Loose,Valid_Strict,Mask_Reason,Exposure_Source,R_Exp_GlassPVK_by_GlassAg,R_TMM_GlassAg,R_TMM_GlassPVK_Fixed,R_TMM_GlassPVK_BestD,Residual_Fixed,Residual_BestD
835.3645144242004,56.97999954223633,137.5500030517578,2.8489999771118164,6.87750015258789,True,True,ok,filename_inference,0.41043786669961274,0.990799057048798,0.2696114174579449,0.10287492231541062,0.14082644924166782,0.3075629443842021
835.7835529704255,57.599998474121094,137.75,2.8799999237060545,6.8875,True,True,ok,filename_inference,0.4143035340065065,0.9908040507160292,0.26672107293746183,0.10410620002653007,0.14758246106904466,0.3101973339799764
836.2025805329803,50.779998779296875,133.0,2.5389999389648437,6.65,True,True,ok,filename_inference,0.3782953454427978,0.990809022319334,0.26381766428545367,0.1053632152867284,0.11447768115734414,0.27293213015606943
836.6215971064538,58.7599983215332,133.5,2.9379999160766603,6.675,True,True,ok,filename_inference,0.4361065712320702,0.9908139707714383,0.2609021498231893,0.10664530595328321,0.17520442140888087,0.329461265278787
837.0406026854355,55.34000015258789,134.60000610351565,2.7670000076293944,6.730000305175783,True,True,ok,filename_inference,0.4073693631215085,0.9908189123844122,0.257974136815359,0.10795235385294577,0.1493952263061495,0.29941700926856274
837.4595972645161,61.41999816894531,139.0,3.0709999084472654,6.95,True,True,ok,filename_inference,0.4378158131808517,0.9908238333831165,0.25503694022579093,0.10928277330798429,0.1827788729550608,0.3285330398728674
837.8785808382867,55.79999923706055,135.85000610351565,2.7899999618530273,6.792500305175783,True,True,ok,filename_inference,0.40698005865561154,0.9908287492529809,0.25208874952854254,0.11063703797745515,0.154891309127069,0.2963430206781564
838.2975534013381,58.400001525878906,138.10000610351565,2.9200000762939453,6.905000305175783,True,True,ok,filename_inference,0.4190056822310902,0.9908336603018684,0.24913262515201343,0.11201365998582878,0.16987305707907677,0.3069920222452614
838.7165149482618,59.040000915527344,135.60000610351565,2.952000045776367,6.780000305175783,True,True,ok,filename_inference,0.4314093453676069,0.9908385663587633,0.2461682453523876,0.11341254061966949,0.1852411000152193,0.3179968047479374
839.1354654736504,69.83999633789062,144.0500030517578,3.4919998168945314,7.2025001525878904,True,True,ok,filename_inference,0.480392246205093,0.9908434730879383,0.24319666563916356,0.11483302812360362,0.23719558056592946,0.3655592180814894
839.5544049720969,70.91999816894531,141.9499969482422,3.5459999084472655,7.097499847412109,True,True,ok,filename_inference,0.4950402767691194,0.9908483867869579,0.2402199299774209,0.11627404869860349,0.2548203467916985,0.3787662280705159
839.9733334381941,55.08000183105469,133.10000610351565,2.7540000915527343,6.655000305175783,True,True,ok,filename_inference,0.41003905950304187,0.9908532953563566,0.23723698950515246,0.11773587216053755,0.1728020699978894,0.2923031873425043
