Wavelength_nm,n_Glass,k_Glass,n_ITO,k_ITO,n_NiOx,k_NiOx,n_PVK,k_PVK,n_C60,k_C60,n_SnOx,k_SnOx,n_Ag,k_Ag
600,1.515,0.0,2.049519962087249,0.0419715982962858,2.0469954231647476,0.2398392604835161,2.7324397060654255,0.4267811768161825,2.1329304587888913,0.0597504197889706,1.8789950321875877,0.0315498851251233,0.049204,3.998054
601,1.515,0.0,2.04895368996647,0.0419919575688286,2.0469701094928587,0.2400328477863868,2.729678657994597,0.4235383555993784,2.132041131934169,0.0592967362292305,1.8789630982339665,0.0314897749937386,0.0491450792997648,4.006386306528519
602,1.515,0.0,2.0483902371787743,0.0420127763633047,2.0469477422650963,0.2402258099666384,2.7258647417948403,0.4224491210634161,2.131158613527122,0.058849451926871,1.8789313267111136,0.0314299048737827,0.0490883502124265,4.014718669826274
603,1.515,0.0,2.0478295850701613,0.04203404457229,2.0469282931596866,0.2404181373698951,2.7240888048433964,0.4208779472818962,2.1302828418895765,0.0584084445977689,1.8788997165153103,0.0313702732832584,0.0490329842748352,4.02305162639409
604,1.515,0.0,2.047271715137025,0.0420557522631996,2.046911734078559,0.2406098205741184,2.7245292570855653,0.4169892903339713,2.1294137542564906,0.0579735929748984,1.8788682665522616,0.0313108787525882,0.0489781530238405,4.031385712732795
605,1.515,0.0,2.0467166090242155,0.0420778896745151,2.0468980371451546,0.2408008503847867,2.725609774406894,0.4125741694439777,2.128551287707743,0.0575447779843993,1.878836975736905,0.0312517198244677,0.0489230279962926,4.039721465343214
606,1.515,0.0,2.0461642485238505,0.0421004472129065,2.046887174703508,0.2409912178312318,2.725793312368915,0.4094929506792616,2.1276953800074883,0.0571218849493316,1.8788058429933876,0.031192795053717,0.0488667807290412,4.048059420726179
607,1.515,0.0,2.0456146155746326,0.0421234154510299,2.046879119317912,0.2411809141638631,2.7236683741967416,0.4070946223848359,2.126845970292357,0.0567048014278084,1.8787748672549776,0.0311341030072173,0.0488085827589364,4.056400115382512
608,1.515,0.0,2.0450676922600373,0.0421467851240306,2.0468738437710146,0.2413699308496693,2.719869222260349,0.4043065027666084,2.1260029959623914,0.0562934170053943,1.8787440474639336,0.0310756422637447,0.0487476056228279,4.06474408581304
609,1.515,0.0,2.0445234608067726,0.042170547126414,2.0468713210621323,0.2415582595681754,2.717258972955768,0.4015591870753446,2.125166396860115,0.0558876238403573,1.8787133825714064,0.0310174114138285,0.0486830208575658,4.0730918685185955
