Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_front_nm,ensemble_id,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
422.0,0.04193131469631514,0.9580686853036848,0.05904839319324745,0.09626610701846022,5.0,less_absorptive,0.019732729384578505,0.018187526429381373
423.0,0.04193131469631514,0.9580686853036848,0.05711754701668231,0.09448512722296576,5.0,less_absorptive,0.019431870688613108,0.017907547452112135
424.0,0.04193131469631514,0.9580686853036848,0.05519128600617981,0.0927086647337302,5.0,less_absorptive,0.019115046901559476,0.017612960117901574
425.0,0.04193131469631514,0.9580686853036848,0.053272080113858346,0.09093899474738376,5.0,less_absorptive,0.018782700704579373,0.0173041811206298
426.0,0.04193131469631514,0.9580686853036848,0.05136234766905347,0.08917834341258889,5.0,less_absorptive,0.01843529310874957,0.016981643373337504
427.0,0.04193131469631514,0.9580686853036848,0.049464452666807206,0.08742888538548396,5.0,less_absorptive,0.018073302793007874,0.01664579537095809
428.0,0.04193131469631514,0.9580686853036848,0.04758070215417381,0.08569274148146092,5.0,less_absorptive,0.017697225374211516,0.01629710049466715
429.0,0.04193131469631514,0.9580686853036848,0.045713343716424465,0.08397197642468501,5.0,less_absorptive,0.01730757260925906,0.015936036257886532
430.0,0.04193131469631514,0.9580686853036848,0.04386456308129643,0.08226859671154742,5.0,less_absorptive,0.016904871536868257,0.015563093501005862
431.0,0.04193131469631514,0.9580686853036848,0.04203648185316254,0.08058454859843542,5.0,less_absorptive,0.016489663565107136,0.015178775540465789
432.0,0.04193131469631514,0.9580686853036848,0.040231155365691836,0.07892171620272032,5.0,less_absorptive,0.016062503500377925,0.014783597268221066
433.0,0.04193131469631514,0.9580686853036848,0.03845057066154096,0.07728191972426189,5.0,less_absorptive,0.015623958522549542,0.014378084205882533
434.0,0.04193131469631514,0.9580686853036848,0.03669664462037459,0.07566691380646501,5.0,less_absorptive,0.015174607118298614,0.01396277152459266
435.0,0.04193131469631514,0.9580686853036848,0.03497122222805095,0.07407838602970226,5.0,less_absorptive,0.014715037971676843,0.013538203029627868
436.0,0.04193131469631514,0.9580686853036848,0.03327607498718343,0.07251795553671986,5.0,less_absorptive,0.014245848814203533,0.01310493011172531
437.0,0.04193131469631514,0.9580686853036848,0.0316128994802586,0.07098717179974778,5.0,less_absorptive,0.0137676452429525,0.012663510672793449
438.0,0.04193131469631514,0.9580686853036848,0.029983316095635575,0.06948751353825063,5.0,less_absorptive,0.013281039515876895,0.012214508034347843
439.0,0.04193131469631514,0.9580686853036848,0.028388867906678224,0.06802038777779083,5.0,less_absorptive,0.01278664932291866,0.01175848982713465
440.0,0.04193131469631514,0.9580686853036848,0.026831019708317763,0.06658712905342706,5.0,less_absorptive,0.012285096538904442,0.011296026867256878
441.0,0.04193131469631514,0.9580686853036848,0.02531115722293485,0.06518899876807038,5.0,less_absorptive,0.011777005969732572,0.010827692029162943
442.0,0.04193131469631514,0.9580686853036848,0.0238305864707707,0.06382718470089259,5.0,less_absorptive,0.011263004094231012,0.01035405911743454
443.0,0.04193131469631514,0.9580686853036848,0.022390533301538142,0.06250280066225572,5.0,less_absorptive,0.010743717804509044,0.009875701739709107
444.0,0.04193131469631514,0.9580686853036848,0.020992143091142165,0.06121688629831906,5.0,less_absorptive,0.010219773152456235,0.009393192187507865
445.0,0.04193131469631514,0.9580686853036848,0.01911793737139306,0.05949366408682827,5.0,less_absorptive,0.00940808214672926,0.008646085717271088
446.0,0.04193131469631514,0.9580686853036848,0.01734081421710996,0.057859953948650455,5.0,less_absorptive,0.008589379604755431,0.007892787047998284
447.0,0.04193131469631514,0.9580686853036848,0.015662047135870973,0.05631688637929014,5.0,less_absorptive,0.007764828936717592,0.00713434862486742
448.0,0.04193131469631514,0.9580686853036848,0.014082744203392636,0.05486544142267781,5.0,less_absorptive,0.006935587666225566,0.006371816490632898
449.0,0.04193131469631514,0.9580686853036848,0.012722923931199732,0.05361586424297881,5.0,less_absorptive,0.006182419413620623,0.00567940226715679
450.0,0.04193131469631514,0.9580686853036848,0.011562293580613132,0.05254944106953903,5.0,less_absorptive,0.005505736573684454,0.005057427118697742
451.0,0.04193131469631514,0.9580686853036848,0.010578800013173158,0.05164585794878198,5.0,less_absorptive,0.004906036720668568,0.004506299887544536
452.0,0.04193131469631514,0.9580686853036848,0.00974897390370288,0.050883514548729934,5.0,less_absorptive,0.004383769151887338,0.004026393827704068
453.0,0.04193131469631514,0.9580686853036848,0.009065485835438114,0.050255648618975426,5.0,less_absorptive,0.00394694790776399,0.0036250418558605446
454.0,0.04193131469631514,0.9580686853036848,0.008397885797262764,0.04964241251003444,5.0,less_absorptive,0.0034986271963308906,0.0032131658516924705
455.0,0.04193131469631514,0.9580686853036848,0.00773192389097147,0.04903071535470316,5.0,less_absorptive,0.0030477899839026577,0.00279901008044655
456.0,0.04193131469631514,0.9580686853036848,0.007093423964987196,0.048444274576160316,5.0,less_absorptive,0.002609833233432169,0.0023967177840651596
457.0,0.04193131469631514,0.9580686853036848,0.006516754728371928,0.047914650208187345,5.0,less_absorptive,0.0022049639663850743,0.0020248460273305305
458.0,0.04193131469631514,0.9580686853036848,0.005979867873954507,0.04742158579184802,5.0,less_absorptive,0.0018140590392069864,0.0016658254257704633
459.0,0.04193131469631514,0.9580686853036848,0.005436894141569444,0.0469229539123785,5.0,less_absorptive,0.001392596062377867,0.0012787661416192309
460.0,0.04193131469631514,0.9580686853036848,0.004896469073016023,0.04642668511088408,5.0,less_absorptive,0.0009463443256214048,0.0008689676114076103
461.0,0.04193131469631514,0.9580686853036848,0.004399232987023467,0.04597009634018766,5.0,less_absorptive,0.0005281880897951741,0.0004849896986014804
462.0,0.04193131469631514,0.9580686853036848,0.00395063346317997,0.045558184602193685,5.0,less_absorptive,0.00015117474468278984,0.00013880773874939273
463.0,0.04193131469631514,0.9580686853036848,0.0035307469992631986,0.045172651728251405,5.0,less_absorptive,-0.00022488758649709742,-0.0002064864099102573
464.0,0.04193131469631514,0.9580686853036848,0.0031314545699040967,0.044806040554439444,5.0,less_absorptive,-0.0006244059935025001,-0.0005733050729578443
465.0,0.04193131469631514,0.9580686853036848,0.002752917403584885,0.04445849720547031,5.0,less_absorptive,-0.0010380801100045149,-0.0009531106826740146
466.0,0.04193131469631514,0.9580686853036848,0.0024006352158507604,0.04413506904583524,5.0,less_absorptive,-0.0014530994588002463,-0.0013341434706607702
467.0,0.04193131469631514,0.9580686853036848,0.0020923536783827635,0.04385204545898088,5.0,less_absorptive,-0.0018567205292116602,-0.0017047074351555294
468.0,0.04193131469631514,0.9580686853036848,0.0018350977660312128,0.04361587249535216,5.0,less_absorptive,-0.002241048899185689,-0.002057558909206121
469.0,0.04193131469631514,0.9580686853036848,0.0016107490570764448,0.04340991404360758,5.0,less_absorptive,-0.002613771965218856,-0.0023997569464607738
470.0,0.04193131469631514,0.9580686853036848,0.001405719294310013,0.04322169431918901,5.0,less_absorptive,-0.0029847471960285,-0.002740352325661853
471.0,0.04193131469631514,0.9580686853036848,0.001230155833306497,0.043060527577223465,5.0,less_absorptive,-0.0033592792716876955,-0.003084220272374663
472.0,0.04193131469631514,0.9580686853036848,0.001098370900927581,0.04293955095523687,5.0,less_absorptive,-0.0037389329572396456,-0.0034328044925399023
473.0,0.04193131469631514,0.9580686853036848,0.0010136409725583567,0.04286177083829952,5.0,less_absorptive,-0.004108090905483642,-0.0037717688970708776
474.0,0.04193131469631514,0.9580686853036848,0.0009690736893097329,0.04282085932362097,5.0,less_absorptive,-0.004447971279770622,-0.0040838668256773444
475.0,0.04193131469631514,0.9580686853036848,0.0009544016341326343,0.04280739082238189,5.0,less_absorptive,-0.004780141824242266,-0.004388902116003547
476.0,0.04193131469631514,0.9580686853036848,0.0009712533556125318,0.04282286019253065,5.0,less_absorptive,-0.0051452521703567395,-0.004724208338571789
477.0,0.04193131469631514,0.9580686853036848,0.0010335199654211483,0.042880019244907544,5.0,less_absorptive,-0.005533743855314188,-0.005081018483310246
478.0,0.04193131469631514,0.9580686853036848,0.0011440291394325252,0.0429814643926203,5.0,less_absorptive,-0.0059004276052725116,-0.005417836730008674
479.0,0.04193131469631514,0.9580686853036848,0.001289906126972393,0.04311537790507653,5.0,less_absorptive,-0.006233817150391316,-0.005724108713854578
480.0,0.04193131469631514,0.9580686853036848,0.0014606889014525941,0.043272156745046544,5.0,less_absorptive,-0.006554896005976494,-0.006019101822062285
481.0,0.04193131469631514,0.9580686853036848,0.0016606448344359554,0.04345571944147903,5.0,less_absorptive,-0.006874908861583012,-0.0063131475998906145
482.0,0.04193131469631514,0.9580686853036848,0.0019042943323292407,0.043679397679698605,5.0,less_absorptive,-0.007193611540808615,-0.006606031826668718
483.0,0.04193131469631514,0.9580686853036848,0.002197981768271537,0.04394901846313626,5.0,less_absorptive,-0.007512709028723025,-0.006899327499537727
484.0,0.04193131469631514,0.9580686853036848,0.002537002649620629,0.04426026603371124,5.0,less_absorptive,-0.00783460833308516,-0.007195246837147055
485.0,0.04193131469631514,0.9580686853036848,0.002916543339093225,0.04460872444375324,5.0,less_absorptive,-0.008155720964966954,-0.007490493702363009
486.0,0.04193131469631514,0.9580686853036848,0.0033275881879461337,0.044986119509174305,5.0,less_absorptive,-0.008461954898418085,-0.0077721172802378
487.0,0.04193131469631514,0.9580686853036848,0.0037616325565687425,0.0453846453850066,5.0,less_absorptive,-0.008746115606104578,-0.008033500844085675
488.0,0.04193131469631514,0.9580686853036848,0.004235510302404409,0.0458197615812122,5.0,less_absorptive,-0.009026943391847803,-0.008291874707103013
489.0,0.04193131469631514,0.9580686853036848,0.004770703518891408,0.04631119865286666,5.0,less_absorptive,-0.009321327479625881,-0.008562777157841567
490.0,0.04193131469631514,0.9580686853036848,0.00534806049502327,0.046841377011436855,5.0,less_absorptive,-0.009612006171865244,-0.008830336427331706
491.0,0.04193131469631514,0.9580686853036848,0.005933453805936081,0.04737896123270244,5.0,less_absorptive,-0.009875881762134883,-0.009073299136800286
492.0,0.04193131469631514,0.9580686853036848,0.00653532767546818,0.04793170756877521,5.0,less_absorptive,-0.010121908719513859,-0.009299897856919578
493.0,0.04193131469631514,0.9580686853036848,0.007185775099725898,0.04852909405461096,5.0,less_absorptive,-0.010370983082636993,-0.009529364276256586
494.0,0.04193131469631514,0.9580686853036848,0.007888325312657271,0.04917436960731333,5.0,less_absorptive,-0.010623590237360933,-0.009762150959764203
495.0,0.04193131469631514,0.9580686853036848,0.008624481497575807,0.04985055224507898,5.0,less_absorptive,-0.010868542614001605,-0.00998796039908928
496.0,0.04193131469631514,0.9580686853036848,0.00938179488078239,0.05054621201453802,5.0,less_absorptive,-0.011099777990639218,-0.010201208053520254
497.0,0.04193131469631514,0.9580686853036848,0.010155016657412965,0.051256530662613264,5.0,less_absorptive,-0.011315467552173263,-0.010400205656844949
498.0,0.04193131469631514,0.9580686853036848,0.010957360229169832,0.05199365070728115,5.0,less_absorptive,-0.011523100882247367,-0.01059184982309247
499.0,0.04193131469631514,0.9580686853036848,0.011826134391910022,0.052791857071767374,5.0,less_absorptive,-0.011740940282316583,-0.01079296987532117
500.0,0.04193131469631514,0.9580686853036848,0.012759958884554732,0.053649894816924906,5.0,less_absorptive,-0.011967503715872052,-0.01100220730431277
501.0,0.04193131469631514,0.9580686853036848,0.013683961618837726,0.05449897408893616,5.0,less_absorptive,-0.012169406853996267,-0.011188787472574034
502.0,0.04193131469631514,0.9580686853036848,0.014555255480798219,0.055299678736130245,5.0,less_absorptive,-0.01233074483732667,-0.01133803064168791
503.0,0.04193131469631514,0.9580686853036848,0.015432655390372602,0.05610605390151051,5.0,less_absorptive,-0.012478186967567348,-0.011474518657415958
504.0,0.04193131469631514,0.9580686853036848,0.016374898262174607,0.05697208916771569,5.0,less_absorptive,-0.012635158024329764,-0.011619859506462896
505.0,0.04193131469631514,0.9580686853036848,0.017381814939437128,0.05789764318576239,5.0,less_absorptive,-0.012799760704430577,-0.011772311892568846
506.0,0.04193131469631514,0.9580686853036848,0.01843744954154946,0.05886806252173094,5.0,less_absorptive,-0.012964408286438578,-0.011924882207209268
507.0,0.04193131469631514,0.9580686853036848,0.019512262441234777,0.05985620033957971,5.0,less_absorptive,-0.013118770481988649,-0.012068034264245589
508.0,0.04193131469631514,0.9580686853036848,0.02057463217155264,0.06083298603261249,5.0,less_absorptive,-0.013253684916185334,-0.012193299421643475
509.0,0.04193131469631514,0.9580686853036848,0.02161287295585379,0.061787670755671854,5.0,less_absorptive,-0.013368414526558826,-0.012299981285921975
510.0,0.04193131469631514,0.9580686853036848,0.022627338154945966,0.06272057368373417,5.0,less_absorptive,-0.0134666035427797,-0.012391429349318264
