Wavelength_nm,R_glass_1mm_pvk_700nm,T_glass_1mm_pvk_700nm,A_glass_1mm_pvk_700nm,R_pvk_700nm_glass_1mm,T_pvk_700nm_glass_1mm,A_pvk_700nm_glass_1mm
440.0,0.13994552982067632,9.296552143628237e-10,0.8600544692496684,0.22818406301858465,9.296552143628232e-10,0.7718159360517601
441.0,0.13993091732357352,1.0260202424965582e-09,0.8600690816504062,0.22840721222206858,1.0260202424965584e-09,0.7715927867519111
442.0,0.13991972511412204,1.1318786256842614e-09,0.8600802737539994,0.22863141490881114,1.1318786256842616e-09,0.7713685839593103
443.0,0.1399118509040238,1.2481159652597545e-09,0.8600881478478603,0.22885659761397184,1.248115965259754e-09,0.7711434011379122
444.0,0.1399071953414773,1.3756957569521762e-09,0.8600928032828269,0.22908268945638166,1.3756957569521764e-09,0.7709173091679226
445.0,0.13901879917524787,1.9938822749647903e-09,0.8609811988308699,0.22869884587217962,1.9938822749647903e-09,0.7713011521339381
446.0,0.13821219347731778,2.8851275073982765e-09,0.8617878036375548,0.22840463838076175,2.885127507398276e-09,0.7715953587341108
447.0,0.13748578135547976,4.16795655282992e-09,0.8625142144765637,0.2281980555980184,4.167956552829922e-09,0.771801940234025
448.0,0.1368379745139978,6.011436588826923e-09,0.8631620194745656,0.2280770929849638,6.0114365888269185e-09,0.7719229010035996
449.0,0.13637728385135803,8.09077071208524e-09,0.8636227080578712,0.2280352458145867,8.090770712085237e-09,0.7719647460946426
450.0,0.13602720996576306,1.0222542614438164e-08,0.8639727798116943,0.227978294845857,1.0222542614438164e-08,0.7720216949316004
451.0,0.13574546368315119,1.2164429569879878e-08,0.8642545241524192,0.22785810609172683,1.2164429569879866e-08,0.7721418817438436
452.0,0.13552269985158968,1.3639959472166463e-08,0.8644772865084508,0.2276706342962183,1.3639959472166458e-08,0.7723293520638222
453.0,0.13534157384264975,1.4371937196948067e-08,0.864658411785413,0.22738091716033132,1.437193719694806e-08,0.7726190684677314
454.0,0.1351269922577164,1.5363108456666198e-08,0.8648729923791751,0.22707268854633367,1.5363108456666195e-08,0.7729272960905579
455.0,0.13504978029245582,1.6220495316723653e-08,0.8649502034870489,0.22697754469286135,1.6220495316723643e-08,0.7730224390866434
456.0,0.13507582310520364,1.680530927083574e-08,0.8649241600894871,0.22701496223669232,1.680530927083575e-08,0.7729850209579984
457.0,0.13511302645237283,1.7050786508478464e-08,0.8648869564968407,0.22701223725441966,1.7050786508478467e-08,0.7729877456947938
458.0,0.13514205158000953,1.7209680182240148e-08,0.8648579312103103,0.2269792182717979,1.720968018224014e-08,0.7730207645185219
459.0,0.13518521385447918,1.7745723449756816e-08,0.8648147683997974,0.22703472217554402,1.7745723449756823e-08,0.7729652600787326
460.0,0.13527111615164736,1.855107053987307e-08,0.8647288652972821,0.22720839153523376,1.8551070539873066e-08,0.7727915899136957
461.0,0.1354472661072142,1.8877276201547853e-08,0.8645527150155097,0.22746623155846804,1.8877276201547863e-08,0.7725337495642558
462.0,0.13570984459752067,1.8552044785691583e-08,0.8642901368504345,0.22777759320779387,1.8552044785691583e-08,0.7722223882401613
463.0,0.13596700583801305,1.8293091636823334e-08,0.8640329758688954,0.22808832406006288,1.8293091636823358e-08,0.7719116576468456
464.0,0.1361785165622041,1.8481893995674605e-08,0.863821464955902,0.22838862168107854,1.84818939956746e-08,0.7716113598370274
465.0,0.13643045493154438,1.8805158013954202e-08,0.8635695262632976,0.2287829373496988,1.88051580139542e-08,0.7712170438451432
466.0,0.1367644178214797,1.9007018971560887e-08,0.8632355631715013,0.22930494321283176,1.9007018971560907e-08,0.7706950377801493
467.0,0.13706941562836017,1.92123825501605e-08,0.8629305651592573,0.22977437269727571,1.92123825501605e-08,0.7702256080903417
468.0,0.13727125603035836,1.9523355236299954e-08,0.8627287244462863,0.2300738579523734,1.9523355236299967e-08,0.7699261225242714
469.0,0.13750549298316908,1.9683976487907037e-08,0.8624944873328545,0.23040823222856552,1.968397648790705e-08,0.769591748087458
470.0,0.13790915809519202,1.9446078352032967e-08,0.8620908224587297,0.2309858879720241,1.9446078352032964e-08,0.7690140925818976
471.0,0.138393586825525,1.911500439943322e-08,0.8616063940594706,0.23169226434845283,1.9115004399433213e-08,0.7683077165365428
472.0,0.13880795870720133,1.9110625872801454e-08,0.8611920221821728,0.2323220537394046,1.911062587280143e-08,0.7676779271499695
473.0,0.1390973563433066,1.9393730054773456e-08,0.8609026242629633,0.2327720439965233,1.9393730054773456e-08,0.7672279366097466
474.0,0.139272602570446,1.9713425417629663e-08,0.8607273777161285,0.23302365106959227,1.9713425417629653e-08,0.7669763292169823
475.0,0.1394841417074522,1.993011976063672e-08,0.8605158383624281,0.23332396285337925,1.9930119760636737e-08,0.766676017216501
476.0,0.1399319062070016,1.999998711808386e-08,0.8600680737930113,0.2340211797557849,1.999998711808388e-08,0.7659788002442279
477.0,0.14050396345769287,2.011724679959403e-08,0.8594960164250603,0.2349426137341042,2.011724679959404e-08,0.765057366148649
478.0,0.14085670874189984,2.0689585494230247e-08,0.8591432705685147,0.23553867706709128,2.068958549423025e-08,0.7644613022433232
479.0,0.14098787451040873,2.1604659499535395e-08,0.8590121038849318,0.23578811109713835,2.1604659499535395e-08,0.7642118672982021
480.0,0.141283418464186,2.1965737727141606e-08,0.8587165595700763,0.23625001696546422,2.1965737727141616e-08,0.7637499610687981
481.0,0.14186695809631325,2.1509021413189624e-08,0.8581330203946653,0.23710870307410647,2.1509021413189634e-08,0.7628912754168721
482.0,0.14239822853863146,2.1314886640127272e-08,0.8576017501464819,0.23790758291137026,2.131488664012729e-08,0.7620923957737431
483.0,0.1426847315674304,2.20291786176932e-08,0.857315246403391,0.2383959771654344,2.2029178617693204e-08,0.761604000805387
484.0,0.14298412686451634,2.290727157263691e-08,0.8570158502282121,0.23892211944359815,2.2907271572636913e-08,0.7610778576491303
485.0,0.14349765408249854,2.3201000016224936e-08,0.8565023227165014,0.2397441869889271,2.320100001622495e-08,0.7602557898100729
486.0,0.14403569744925607,2.3307315265946378e-08,0.8559642792434287,0.24058391652147468,2.330731526594638e-08,0.75941606017121
487.0,0.14439610285477436,2.381816321207594e-08,0.8556038733270624,0.2411630984112701,2.3818163212075958e-08,0.7588368777705667
488.0,0.14466007470618603,2.479976587716162e-08,0.8553399004940481,0.2416256075001083,2.4799765877161626e-08,0.7583743677001258
489.0,0.14495335055719388,2.6147367802086977e-08,0.8550466232954383,0.2421686838664906,2.6147367802086977e-08,0.7578312899861416
490.0,0.1452361395458265,2.7740469451420508e-08,0.854763832713704,0.24270749747931347,2.7740469451420524e-08,0.757292474780217
491.0,0.14543416096672845,2.9432007171757514e-08,0.8545658096012644,0.24310158407349775,2.943200717175752e-08,0.756898386494495
492.0,0.14560348304021933,3.116217819864771e-08,0.8543964857976025,0.24344114500414257,3.116217819864769e-08,0.7565588238336792
493.0,0.14584404203043658,3.2952876198602244e-08,0.8541559250166872,0.24389561411054717,3.295287619860222e-08,0.7561043529365766
494.0,0.14615115065770543,3.485276675459821e-08,0.8538488144895278,0.24445948684924418,3.485276675459821e-08,0.755540478297989
495.0,0.14645808200276456,3.6930210110793353e-08,0.8535418810670253,0.24502493052174598,3.693021011079337e-08,0.7549750325480439
496.0,0.14674628560230568,3.912036073311358e-08,0.8532536752773336,0.245556304700398,3.9120360733113545e-08,0.7544436561792413
497.0,0.14704653147352187,4.114981158702992e-08,0.8529534273766666,0.24608916194039684,4.1149811587029915e-08,0.7539107969097916
498.0,0.14737018417712475,4.317045669885043e-08,0.8526297726524186,0.246652486829533,4.317045669885046e-08,0.7533474700000103
499.0,0.1476668106313641,4.630081376127445e-08,0.8523331430678222,0.24721875034680807,4.630081376127447e-08,0.7527812033523782
500.0,0.14787256977621593,5.1295950122526594e-08,0.8521273789278339,0.24770496140239176,5.12959501225266e-08,0.7522949873016581
501.0,0.14799101514579874,5.6922983278572385e-08,0.852008927931218,0.2480492997535821,5.69229832785724e-08,0.7519506433234345
502.0,0.14807524367179284,6.170133462252166e-08,0.8519246946268726,0.2482863915329922,6.170133462252162e-08,0.7517135467656731
503.0,0.14816191572102677,6.653977542287517e-08,0.8518380177391978,0.24851564689849992,6.65397754228752e-08,0.7514842865617246
504.0,0.14825363956679033,7.303873189264983e-08,0.8517462873944778,0.24878820913573602,7.303873189264981e-08,0.7512117178255321
505.0,0.14837564800990063,8.118338650783613e-08,0.8516242708067129,0.24913220313970594,8.118338650783616e-08,0.7508677156769076
