Wavelength_nm,zone_label,R_front,T_front,R_stack,R_total
538.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06380533368860399,0.10065506206539063
539.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06448276814569395,0.10128023463805379
540.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06523131128764602,0.1019710715078851
541.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06596255371987038,0.10264598339607872
542.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06659852822754189,0.10323299997640446
543.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06718048627424249,0.10377018584462387
544.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06776433083392357,0.10430913950921741
545.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06834852668713932,0.10484844394531898
546.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06891645071802119,0.10537275233773045
547.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06946674191110687,0.10588080595570912
548.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07000420438890424,0.10637703822506508
549.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0705294788007005,0.10686203908383567
550.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07104135599495708,0.10733469052493293
551.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07154043205906448,0.10779554139527417
552.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07202852382831128,0.10824626799176261
553.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07250518069279963,0.10868645292685672
554.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07296637914884026,0.10911237907129782
555.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07341340893638341,0.1095252359333724
556.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07385836772268167,0.10993619552864448
557.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07429653802321338,0.11034090037747712
558.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07468516500436077,0.11069985828325463
559.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07499657852245518,0.1109875059282589
560.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07525797180085649,0.11122895650196286
