Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,ensemble_id,d_BEMA_front_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
430.0,0.04193131469631514,0.9580686853036848,0.026959691544428184,0.06670550321054157,700.0,nominal,0.0,0.0,0.0
431.0,0.04193131469631514,0.9580686853036848,0.025546818288055394,0.06540577305796963,700.0,nominal,0.0,0.0,0.0
432.0,0.04193131469631514,0.9580686853036848,0.02416865186531392,0.06413811893449925,700.0,nominal,0.0,0.0,0.0
433.0,0.04193131469631514,0.9580686853036848,0.022826612138991415,0.06290383551837936,700.0,nominal,0.0,0.0,0.0
434.0,0.04193131469631514,0.9580686853036848,0.02152203750207596,0.061704142281872335,700.0,nominal,0.0,0.0,0.0
435.0,0.04193131469631514,0.9580686853036848,0.020256184256374106,0.060540183000074396,700.0,nominal,0.0,0.0,0.0
436.0,0.04193131469631514,0.9580686853036848,0.019030226172979885,0.059413025424994534,700.0,nominal,0.0,0.0,0.0
437.0,0.04193131469631514,0.9580686853036848,0.01784525423730611,0.05832366112695435,700.0,nominal,0.0,0.0,0.0
438.0,0.04193131469631514,0.9580686853036848,0.0167022765797587,0.057273005503902796,700.0,nominal,0.0,0.0,0.0
439.0,0.04193131469631514,0.9580686853036848,0.015602218583759575,0.05626189795065619,700.0,nominal,0.0,0.0,0.0
440.0,0.04193131469631514,0.9580686853036848,0.014545923169413303,0.05529110218617017,700.0,nominal,0.0,0.0,0.0
441.0,0.04193131469631514,0.9580686853036848,0.013534151253202273,0.05436130673890743,700.0,nominal,0.0,0.0,0.0
442.0,0.04193131469631514,0.9580686853036848,0.012567582376539673,0.053473125583458035,700.0,nominal,0.0,0.0,0.0
443.0,0.04193131469631514,0.9580686853036848,0.0116468154970291,0.05262709892254661,700.0,nominal,0.0,0.0,0.0
444.0,0.04193131469631514,0.9580686853036848,0.01077236993868592,0.05182369411081118,700.0,nominal,0.0,0.0,0.0
445.0,0.04193131469631514,0.9580686853036848,0.009709855224663794,0.050847578369557174,700.0,nominal,0.0,0.0,0.0
446.0,0.04193131469631514,0.9580686853036848,0.008751434612354525,0.04996716690065217,700.0,nominal,0.0,0.0,0.0
447.0,0.04193131469631514,0.9580686853036848,0.00789721819915337,0.04918253775442271,700.0,nominal,0.0,0.0,0.0
