Wavelength_nm,n_PVK,k_PVK,eps1,eps2,dn_dlambda,dk_dlambda,deps1_dlambda,deps2_dlambda
746,2.57404809641336,0.1434473083028342,6.605146472389913,0.7384805417450614,0.017367267226190197,-0.03586182707570855,0.0996969274166184,-0.17963755996391934
747,2.59141536363955,0.1075854812271256,6.70385895113623,0.5575973379130553,0.01736726722619042,-0.03586182707570855,0.0977280300760146,-0.1821288477000923
748,2.6087826308657407,0.0717236541514171,6.800602532541943,0.3742228463448768,0.015480261783636928,-0.03227564436813771,0.08557220047210379,-0.16594684024310513
749,2.622375887206824,0.0430341924908502,6.875003352080437,0.22570365742684506,0.011706850015997361,-0.025103278952996,0.06369600320936186,-0.130474201383657
750,2.6321963308977354,0.0215170962454251,6.927994538960666,0.11327444357756278,0.007934633302842942,-0.01793091353785425,0.04264134835455424,-0.0939293704155525
751,2.63824515381251,0.0071723654151417,6.960286048789546,0.03784491659574008,0.004163605304352558,-0.01075854812271255,0.022185017144524366,-0.05663722178878139
752,2.6405235415064405,0.0,6.972364573249715,0.0,0.00039079581355183635,-0.00358618270757085,0.0020880571780264034,-0.01892245829787004
753,2.6390267454396135,0.0,6.9644621631455985,0.0,-0.0014908524724284167,0.0,-0.007868816818531688,0.0
754,2.6375418365615837,0.0,6.956626939612652,0.0,-0.0014819606821157016,0.0,-0.007817475336659996,0.0
755,2.636062824075382,0.0,6.9488272124722785,0.0,-0.0014760798788850948,0.0,-0.007782087245714386,0.0
756,2.6345896768038135,0.0,6.941062765121223,0.0,-0.0014702301499567305,0.0,-0.007746914928883797,0.0
757,2.6331223637754686,0.0,6.933333382614511,0.0,-0.0014644112903556827,0.0,-0.007711956735477532,0.0
758,2.631660854223102,0.0,6.925638851650268,0.0,-0.0014586230967257308,0.0,-0.007677211029939013,0.0
759,2.630205117582017,0.0,6.917978960554633,0.0,-0.0014528653673167025,0.0,-0.007642676191696562,0.0
760,2.6287551234884687,0.0,6.910353499266875,0.0,-0.0014471379019691533,0.0,-0.007608350614997761,0.0
761,2.627310841778079,0.0,6.902762259324637,0.0,-0.0014414405021001553,0.0,-0.007574232708757123,0.0
762,2.6258722424842684,0.0,6.8952050338493605,0.0,-0.001435772970687088,0.0,-0.007540320896389563,0.0
763,2.6244392958367047,0.0,6.887681617531858,0.0,-0.0014301351122563144,0.0,-0.007506613615673174,0.0
764,2.623011972259756,0.0,6.880191806618014,0.0,-0.0014245267328654165,0.0,-0.007473109318578697,0.0
765,2.621590242370974,0.0,6.872735398894701,0.0,-0.0014189476400929824,0.0,-0.007439806471136734,0.0
766,2.62017407697957,0.0,6.865312193675741,0.0,-0.001413397643022174,0.0,-0.007406703553279215,0.0
767,2.6187634470849295,0.0,6.857921991788142,0.0,-0.0014078765522258507,0.0,-0.007373799058686625,0.0
768,2.617358323875118,0.0,6.850564595558367,0.0,-0.0014023841797583536,0.0,-0.007341091494667662,0.0
769,2.6159586787254128,0.0,6.843239808798807,0.0,-0.0013969203391364093,0.0,-0.0073085793819904765,0.0
770,2.6145644831968453,0.0,6.835947436794386,0.0,-0.0013941955285674545,0.0,-0.0072923720044206775,0.0
