ag_boundary_mode,Wavelength_nm,R_stack,R_total,R_stack_step_749_750,R_total_step_749_750
semi_infinite_ag,730.0,0.06044950048020065,0.09755864565672359,0.11306205832009575,0.10703142680281447
semi_infinite_ag,731.0,0.0605759982369799,0.09767534888109436,0.11306205832009575,0.10703142680281447
semi_infinite_ag,732.0,0.06054914823371509,0.09765057772972142,0.11306205832009575,0.10703142680281447
semi_infinite_ag,733.0,0.060488263428006304,0.09759440711546975,0.11306205832009575,0.10703142680281447
semi_infinite_ag,734.0,0.06038397499792461,0.09749819420267279,0.11306205832009575,0.10703142680281447
semi_infinite_ag,735.0,0.06000999177624742,0.09715317710305042,0.11306205832009575,0.10703142680281447
semi_infinite_ag,736.0,0.059252178936165335,0.09645409240119929,0.11306205832009575,0.10703142680281447
semi_infinite_ag,737.0,0.058349377258416296,0.09562131317982762,0.11306205832009575,0.10703142680281447
semi_infinite_ag,738.0,0.057681593510832074,0.09500536426184489,0.11306205832009575,0.10703142680281447
semi_infinite_ag,739.0,0.05733508667650712,0.09468576766899856,0.11306205832009575,0.10703142680281447
semi_infinite_ag,740.0,0.05699921192524501,0.09437598634097905,0.11306205832009575,0.10703142680281447
semi_infinite_ag,741.0,0.056402295293783045,0.09382546452767587,0.11306205832009575,0.10703142680281447
semi_infinite_ag,742.0,0.055553864945593646,0.0930430252127912,0.11306205832009575,0.10703142680281447
semi_infinite_ag,743.0,0.05459069438227094,0.09215483782219872,0.11306205832009575,0.10703142680281447
semi_infinite_ag,744.0,0.053517423120663155,0.09116520581471185,0.11306205832009575,0.10703142680281447
semi_infinite_ag,745.0,0.06781393521637374,0.10435493110800244,0.11306205832009575,0.10703142680281447
semi_infinite_ag,746.0,0.09246466527052474,0.12713457172027906,0.11306205832009575,0.10703142680281447
semi_infinite_ag,747.0,0.1349208167185302,0.1664791573526317,0.11306205832009575,0.10703142680281447
semi_infinite_ag,748.0,0.2090325150879881,0.23549795493998854,0.11306205832009575,0.10703142680281447
semi_infinite_ag,749.0,0.3085270198433398,0.32883861400712877,0.11306205832009575,0.10703142680281447
semi_infinite_ag,750.0,0.42158907816343555,0.43587004080994324,0.11306205832009575,0.10703142680281447
semi_infinite_ag,751.0,0.5238028567233375,0.5335248898284993,0.11306205832009575,0.10703142680281447
semi_infinite_ag,752.0,0.5868685064792726,0.594205801318066,0.11306205832009575,0.10703142680281447
semi_infinite_ag,753.0,0.5918742167272258,0.5990363252220724,0.11306205832009575,0.10703142680281447
semi_infinite_ag,754.0,0.5968356989317206,0.603826221327229,0.11306205832009575,0.10703142680281447
semi_infinite_ag,755.0,0.6017601217260984,0.6085823614049243,0.11306205832009575,0.10703142680281447
semi_infinite_ag,756.0,0.6066487114539065,0.6133058864324845,0.11306205832009575,0.10703142680281447
semi_infinite_ag,757.0,0.6115025530072643,0.6179978028922392,0.11306205832009575,0.10703142680281447
semi_infinite_ag,758.0,0.6163225395851176,0.6226589338598973,0.11306205832009575,0.10703142680281447
semi_infinite_ag,759.0,0.6211093231067143,0.6272898706130995,0.11306205832009575,0.10703142680281447
semi_infinite_ag,760.0,0.6258632650912703,0.6318909245812172,0.11306205832009575,0.10703142680281447
semi_infinite_ag,761.0,0.6305843796219549,0.6364620715226406,0.11306205832009575,0.10703142680281447
semi_infinite_ag,762.0,0.6352722628736235,0.6410028825617622,0.11306205832009575,0.10703142680281447
semi_infinite_ag,763.0,0.6399260579711041,0.6455124893175384,0.11306205832009575,0.10703142680281447
semi_infinite_ag,764.0,0.6445444040074507,0.6499895336086022,0.11306205832009575,0.10703142680281447
semi_infinite_ag,765.0,0.6491253779117065,0.6544321101243475,0.11306205832009575,0.10703142680281447
semi_infinite_ag,766.0,0.6536664329122633,0.6588377056831503,0.11306205832009575,0.10703142680281447
semi_infinite_ag,767.0,0.6581643332755848,0.6632031347648558,0.11306205832009575,0.10703142680281447
semi_infinite_ag,768.0,0.6626150872585693,0.6675244731990903,0.11306205832009575,0.10703142680281447
semi_infinite_ag,769.0,0.6670138769389328,0.6717969887188486,0.11306205832009575,0.10703142680281447
semi_infinite_ag,770.0,0.6713549851428703,0.6760150685990871,0.11306205832009575,0.10703142680281447
semi_infinite_ag,771.0,0.6756317278277485,0.6801721525168237,0.11306205832009575,0.10703142680281447
semi_infinite_ag,772.0,0.6798363957579705,0.6842606744019442,0.11306205832009575,0.10703142680281447
semi_infinite_ag,773.0,0.6839601655082821,0.6882719744457814,0.11306205832009575,0.10703142680281447
semi_infinite_ag,774.0,0.6879930234327131,0.6921962236963592,0.11306205832009575,0.10703142680281447
semi_infinite_ag,775.0,0.691923699477096,0.6960223582732885,0.11306205832009575,0.10703142680281447
semi_infinite_ag,776.0,0.6957396076178073,0.6997380201394021,0.11306205832009575,0.10703142680281447
semi_infinite_ag,777.0,0.6994267988838717,0.7033295103017797,0.11306205832009575,0.10703142680281447
semi_infinite_ag,778.0,0.7029699268725648,0.7067817544430479,0.11306205832009575,0.10703142680281447
semi_infinite_ag,779.0,0.7063522337135265,0.710078288830378,0.11306205832009575,0.10703142680281447
semi_infinite_ag,780.0,0.7095555588098396,0.7132012688845882,0.11306205832009575,0.10703142680281447
