interface_type,d_air_nm,wavelength_nm,reflectance,delta_r
front,0.0,876,0.9363822621375348,0.0
front,0.0,877,0.9395953549684608,0.0
front,0.0,878,0.9426805241168794,0.0
front,0.0,879,0.9456395355647617,0.0
front,0.0,880,0.9484741860952468,0.0
front,0.0,881,0.9511862979023117,0.0
front,0.0,882,0.9537777223205868,0.0
front,0.0,883,0.9562503225037117,0.0
front,0.0,884,0.9586059646891562,0.0
front,0.0,885,0.9608465137605138,0.0
front,0.0,886,0.9629738280117284,0.0
front,0.0,887,0.9649897553507673,0.0
front,0.0,888,0.9668961299189046,0.0
front,0.0,889,0.9686947689257489,0.0
front,0.0,890,0.9703874695994662,0.0
front,0.0,891,0.9719760161313278,0.0
front,0.0,892,0.9734622054667399,0.0
front,0.0,893,0.9748478151772558,0.0
front,0.0,894,0.976134592012628,0.0
front,0.0,895,0.9773242511228473,0.0
front,0.0,896,0.9784184748984178,0.0
front,0.0,897,0.9794189117272429,0.0
front,0.0,898,0.980327091607419,0.0
front,0.0,899,0.9812395262919164,0.0
front,0.0,900,0.9821562227054577,0.0
front,0.0,901,0.9830771830407415,0.0
front,0.0,902,0.9840026745157039,0.0
front,0.0,903,0.9849329251222856,0.0
front,0.0,904,0.9857755064254534,0.0
front,0.0,905,0.9865319068525097,0.0
front,0.0,906,0.986739658665928,0.0
front,0.0,907,0.986868250369761,0.0
front,0.0,908,0.9869188917842779,0.0
front,0.0,909,0.986892760679926,0.0
front,0.0,910,0.986791003296123,0.0
front,0.0,911,0.9866147367260677,0.0
front,0.0,912,0.9863650548113561,0.0
front,0.0,913,0.9860430230513438,0.0
front,0.0,914,0.9856496774479567,0.0
front,0.0,915,0.9851860252413236,0.0
front,0.0,916,0.9846530456713557,0.0
front,0.0,917,0.9840516907622917,0.0
front,0.0,918,0.9833828861275342,0.0
front,0.0,919,0.9826475317924339,0.0
front,0.0,920,0.9818465030329452,0.0
front,0.0,921,0.980980650992294,0.0
front,0.0,922,0.9800508028837254,0.0
front,0.0,923,0.979057763652449,0.0
front,0.0,924,0.9780023171044869,0.0
front,0.0,925,0.9768852267969266,0.0
front,0.0,926,0.9757072369364118,0.0
front,0.0,927,0.9744690732851686,0.0
front,0.0,928,0.9731714440739629,0.0
front,0.0,929,0.9718150409215305,0.0
front,0.0,930,0.9704005397601253,0.0
front,0.0,931,0.9689286015111975,0.0
front,0.0,932,0.9673998722128457,0.0
front,0.0,933,0.9658149846559548,0.0
front,0.0,934,0.9641745595792877,0.0
front,0.0,935,0.9624792066250616,0.0
front,0.0,936,0.9607295253000226,0.0
front,0.0,937,0.9589261059421419,0.0
front,0.0,938,0.9570695306930547,0.0
front,0.0,939,0.9551603744764521,0.0
front,0.0,940,0.9531992059825758,0.0
front,0.0,941,0.9511865895416861,0.0
front,0.0,942,0.9491230888900987,0.0
front,0.0,943,0.9470092657349889,0.0
front,0.0,944,0.9448456799071135,0.0
front,0.0,945,0.9426328903727142,0.0
front,0.0,946,0.9403714562525531,0.0
front,0.0,947,0.9380619378481837,0.0
front,0.0,948,0.9357048976754944,0.0
front,0.0,949,0.9333009015055562,0.0
front,0.0,950,0.930850519412737,0.0
front,0.0,951,0.9283543257096633,0.0
front,0.0,952,0.9258128965200342,0.0
front,0.0,953,0.9232268139878707,0.0
front,0.0,954,0.9205966684499758,0.0
front,0.0,955,0.9179230595274336,0.0
front,0.0,956,0.9152065972236104,0.0
front,0.0,957,0.9124479030282956,0.0
front,0.0,958,0.9096476110274629,0.0
front,0.0,959,0.9068063690181208,0.0
front,0.0,960,0.9039248396275317,0.0
front,0.0,961,0.9010037015581212,0.0
front,0.0,962,0.8980436510869078,0.0
