Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
4.177698,296.7763548250735,1.623264,2.609636,1.5324108691298504,0.8514805175852842
4.155352,298.3723121410653,1.594422,2.62135,1.5268579503263122,0.8584131875004412
4.133243,299.96832608196513,1.573429,2.637176,1.52386363219587,0.8652926496447256
4.111368,301.56434160114105,1.551945,2.648682,1.5201655335075717,0.8711820987970081
4.089723,303.1603812776562,1.526129,2.660852,1.5155150007104052,0.877870558441425
4.068305,304.75639953248344,1.485596,2.694615,1.510397079722097,0.8920220504186197
4.04711,306.3524302526988,1.472202,2.714725,1.5100369632232777,0.8988935589381974
4.026134,307.94851438128984,1.436932,2.752356,1.5069514134774031,0.9132198873116725
4.005375,309.5445455169616,1.420843,2.77005,1.5056620120695674,0.9198777606776775
3.984829,311.14057441360717,1.373988,2.797323,1.4984215033270771,0.9334232703511188
3.964492,312.73665932482646,1.347447,2.834026,1.4975797916508635,0.9462020039933563
3.944361,314.3327864766942,1.319925,2.865509,1.4957969528026385,0.9578536025999268
3.924434,315.92886617535163,1.28353,2.897906,1.4921399830721378,0.9710570163911694
3.904708,317.52489148996546,1.256357,2.946491,1.493237802637776,0.9866114408552609
3.885178,319.1210245708176,1.221761,2.994924,1.492699601244032,1.0031904602587145
3.865843,320.71710723896445,1.201399,3.053844,1.4971746104642192,1.0198690181678656
3.846699,322.31323116261495,1.161126,3.107994,1.4964846387944355,1.038431641538196
3.827744,323.90932726953525,1.138572,3.172845,1.5015858573870977,1.056498029863258
3.808975,325.50541392369337,1.11127,3.221451,1.5031644000826867,1.0715564444656862
3.790389,327.10151491047486,1.08586,3.29905,1.509804204924796,1.0925423274219608
3.771983,328.6976595599715,1.067277,3.359679,1.515322473732891,1.1085689872082694
3.753756,330.2937068898458,1.051788,3.434353,1.52374367447678,1.12694577753679
3.735703,331.88987026002866,1.034556,3.506361,1.5313973997169377,1.1448240021329907
3.717823,333.486016951318,1.019398,3.573777,1.5387853471022954,1.1612331137444936
3.700114,335.08210395679697,1.028028,3.666449,1.5549716760280377,1.1789439822355616
3.682572,336.67827377170084,1.012632,3.74677,1.564262034963077,1.1976158457647537
3.665196,338.2744016963895,1.016271,3.837395,1.5789168794291948,1.2151985484464778
3.647983,339.870548738851,1.024354,3.908662,1.5913853722156557,1.2280689731859369
3.630931,341.46668829564646,1.038285,4.012939,1.6098708412707832,1.2463543338769674
3.614038,343.06279679405696,1.057831,4.084116,1.6243026634981228,1.2571905753095256
3.597301,344.6589495847025,1.063642,4.166883,1.637702041429908,1.2721737210395787
3.580719,346.25503537138763,1.098518,4.254076,1.6571268625122177,1.2835698027219191
3.564288,347.85123536594125,1.123005,4.3342,1.6733692006012044,1.2950519223261723
3.548008,349.4473473566012,1.15921,4.422117,1.6927403824729925,1.3062005980915845
3.531876,351.0434635870568,1.187815,4.507009,1.7100760088621307,1.3177803140454916
3.515889,352.639683448482,1.229993,4.592637,1.7298100095358158,1.3274975213122993
3.500047,354.235809976266,1.268534,4.668672,1.747351621096395,1.3359280249130938
3.484347,355.83194899933903,1.31388,4.762225,1.7683365828916011,1.346526743289098
3.468787,357.42811074880063,1.371652,4.833718,1.7883256896695767,1.351464676686804
3.453366,359.02420536948586,1.423784,4.921369,1.809277465566517,1.360037112510831
3.438081,360.6203530399662,1.480127,4.979074,1.8268200019816954,1.362770824328288
3.422931,362.21647003693613,1.558352,5.068567,1.8521705292861206,1.3682776288297736
3.407914,363.8125797775413,1.629821,5.153395,1.8754732554470839,1.3738918923617256
3.393028,365.40870986033707,1.714976,5.209667,1.8973219690309453,1.3729000889239769
3.378271,367.004892147492,1.787131,5.282918,1.9188724198406322,1.376568328716393
3.363643,368.6009436792192,1.873015,5.353089,1.942205461706841,1.3780954449833593
3.34914,370.1971204548033,1.960923,5.415058,1.9647004696339296,1.3780874193532802
