Photon_Energy_eV,Epsilon1,Epsilon2
1.616855,7.29389,1.309778
1.613516,7.29883,1.312806
1.610191,7.298651,1.301674
1.60688,7.326085,1.29253
1.603582,7.340007,1.282894
1.600299,7.346142,1.273852
1.597028,7.364904,1.254036
1.593772,7.39011,1.239874
1.590528,7.412271,1.216041
1.587298,7.432187,1.192651
1.584082,7.477059,1.1624
1.580878,7.486333,1.131891
1.577688,7.503849,1.089448
1.57451,7.538826,1.034029
1.571346,7.549701,0.973928
1.568194,7.569801,0.931499
1.565055,7.567447,0.879432
1.561929,7.565305,0.822456
1.558815,7.544218,0.751425
1.555714,7.529467,0.687104
1.552625,7.512455,0.636154
1.549549,7.484463,0.593842
1.546485,7.449419,0.542915
1.543433,7.41229,0.49755
1.540394,7.374156,0.458259
1.537367,7.33085,0.420765
1.534351,7.289903,0.390979
1.531348,7.248349,0.361857
1.528356,7.209131,0.339802
1.525376,7.169196,0.321369
1.522408,7.126922,0.302939
1.519452,7.090376,0.289851
1.516507,7.043086,0.271886
1.513574,6.997172,0.254433
1.510652,6.956467,0.240579
1.507742,6.940045,0.228064
1.504843,6.93906,0.219855
1.501955,6.937938,0.214316
1.499079,6.919645,0.209382
1.496213,6.893773,0.20479
1.493359,6.881295,0.1982
1.490516,6.860562,0.196455
1.487683,6.818281,0.193539
1.484862,6.79077,0.188355
1.482051,6.785891,0.182076
1.479252,6.778732,0.180106
1.476462,6.748832,0.182257
1.473684,6.723464,0.177573
1.470916,6.713432,0.174056
1.468159,6.70437,0.173695
1.465412,6.690665,0.172009
1.462675,6.665282,0.175052
1.459949,6.641817,0.173446
1.457233,6.616674,0.170454
1.454528,6.595508,0.168013
1.451832,6.575907,0.168004
1.449147,6.554949,0.160788
1.446472,6.541382,0.157239
1.443806,6.521454,0.152177
1.441151,6.503099,0.14606
1.438506,6.490389,0.140787
1.43587,6.471605,0.13421
1.433244,6.460912,0.130267
1.430628,6.448833,0.118543
1.428022,6.442291,0.114687
1.425425,6.437682,0.107178
1.422838,6.420973,0.10275
1.42026,6.412603,0.095527
1.417692,6.403893,0.091264
1.415133,6.394168,0.086611
1.412584,6.383234,0.078827
1.410044,6.368626,0.072862
1.407513,6.370166,0.066569
1.404991,6.37769,0.063386
1.402479,6.389715,0.059043
1.399975,6.39962,0.057345
1.397481,6.401524,0.055514
1.394996,6.389514,0.054886
1.392519,6.374492,0.052528
1.390052,6.359312,0.049574
1.387594,6.339947,0.045206
1.385144,6.331255,0.04008
1.382703,6.339873,0.038275
1.380271,6.342975,0.035733
1.377847,6.340436,0.035468
1.375432,6.323224,0.034564
1.373026,6.307254,0.030853
1.370628,6.298989,0.026954
1.368239,6.309359,0.025653
1.365858,6.313871,0.021153
1.363486,6.315639,0.021631
1.361122,6.304738,0.02123
1.358766,6.280347,0.017961
1.356419,6.263466,0.015805
1.35408,6.263981,0.011378
1.351749,6.267798,0.00863
1.349426,6.277418,0.006576
1.347111,6.284159,0.004616
1.344805,6.288685,0.007537
1.342506,6.288418,0.006456
1.340216,6.285578,0.008784
1.337933,6.276412,0.003752
1.335658,6.271464,0.004137
1.333391,6.272531,0.014168
1.331132,6.255572,0.008081
1.328881,6.248576,0.003081
1.326638,6.242665,0.006009
1.324402,6.224678,-0.008225
1.322173,6.222699,-0.00209
1.319953,6.226174,-0.003052
1.31774,6.225125,-0.001637
1.315535,6.219281,-0.007193
1.313337,6.21804,-0.00489
1.311146,6.210738,-0.00747
1.308963,6.206542,-0.011528
1.306788,6.197004,-0.009301
1.304619,6.198931,-0.005836
1.302459,6.195884,-0.013331
1.300305,6.195655,-0.013922
1.298159,6.193946,-0.01834
1.296019,6.19827,-0.005752
1.293887,6.191587,-0.015078
1.291763,6.188864,0.002109
1.289645,6.176584,-0.018273
1.287534,6.169224,-0.006081
1.285431,6.159875,-0.007728
1.283334,6.149807,-0.012725
1.281244,6.146384,-0.016464
1.279162,6.145969,-0.012359
1.277086,6.139029,-0.008959
1.275017,6.136962,-0.022252
1.272955,6.13672,-0.014322
1.2709,6.129385,-0.019032
1.268851,6.122812,-0.017155
1.266809,6.125769,-0.019046
1.264774,6.137978,-0.020676
1.262746,6.144115,-0.018814
1.260724,6.149646,-0.019551
1.258709,6.158261,-0.017606
1.2567,6.15393,-0.0147
1.254698,6.138634,-0.022719
1.252702,6.127177,-0.019576
1.250713,6.12254,-0.016901
1.24873,6.124587,-0.019797
1.246754,6.129678,-0.022725
1.244784,6.138444,-0.017586
1.242821,6.148244,-0.027074
1.240863,6.154948,-0.021699
1.224385,6.002085,-0.013242
1.220322,5.993912,-0.007795
1.216285,5.990195,-0.022094
1.212273,5.978454,-0.01155
1.208287,5.973068,-0.014572
1.204326,5.971663,-0.005807
1.20039,5.964615,-0.010077
1.196478,5.957935,-0.015613
1.192591,5.948575,-0.00851
1.188727,5.941906,-0.009617
1.184888,5.947868,-0.013699
1.181073,5.941966,-0.013607
1.177281,5.934075,-0.010928
1.173512,5.93144,-0.003246
1.169767,5.920369,-0.007356
1.166045,5.918656,-0.010014
1.162345,5.908677,-0.006303
1.158667,5.910933,-0.005847
1.155012,5.897012,-0.006188
1.15138,5.900427,-0.005255
1.147769,5.907115,-0.009303
1.144179,5.89235,-0.006314
1.140612,5.886931,-0.003797
1.137066,5.88419,-0.009851
1.13354,5.88096,-0.002337
1.130036,5.868437,-0.004925
