case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_mean_deltaR_500_650,front_rms_deltaR_500_650,transition_mean_deltaR_650_810,transition_rms_deltaR_650_810,rear_mean_deltaR_810_1055,rear_rms_deltaR_810_1055,front_to_rear_rms_ratio,transition_to_rear_rms_ratio,front_plus_transition_to_rear_ratio,rear_best_shift_nm,rear_shift_aligned_rms_residual,rear_unaligned_rms_residual,rear_shift_explained_fraction,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
D1_0086,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,2.0,0.0,-0.0024737912077912663,0.0030416531163593667,0.000715341185665136,0.0026320516401191116,-0.0009611923761083509,0.0032727062227236835,0.9293999856265667,0.8042431739958034,1.73364315962237,-1.0,0.0022403375212585175,0.0032727062227236835,0.31544802105884884,953.0,846.0,107.0,26.673184444281397
D1_0087,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,3.0,0.0,-0.0036327872447809635,0.0044710593229196505,0.0010734768740812797,0.003988036879333571,-0.001450542204082322,0.00490958896095489,0.9106789506162757,0.8122954713825815,1.722974421998857,-1.0,0.0033277399219792878,0.00490958896095489,0.3221958195595952,954.0,846.0,108.0,26.554689464866588
D1_0088,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,5.0,0.0,-0.005791473055029569,0.007143870459952084,0.0017897307620267375,0.006773307206599775,-0.0024453162399005607,0.008181082291665705,0.8732182619932504,0.8279231237534342,1.7011413857466844,-2.0,0.005467356689692769,0.008181082291665705,0.3317074080452025,955.0,846.0,109.0,26.316652259342188
D1_0089,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,10.0,0.0,-0.010238170115083654,0.012728845077922091,0.003573644065928592,0.014101139123754566,-0.005013129114816077,0.01631627472235146,0.7801318189675372,0.864237662316239,1.6443694812837761,-4.0,0.01105357376838954,0.01631627472235146,0.322543046345782,958.0,845.0,113.0,25.692744882010288
D1_0090,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,15.0,0.0,-0.013314767909343583,0.01676759257250562,0.005339387769037973,0.02181634198107996,-0.007670571917805456,0.024327428515270262,0.6892464019360142,0.8967796151321912,1.5860260170682055,-6.0,0.0166892445425012,0.024327428515270262,0.31397416163301417,961.0,845.0,116.0,25.03335092621025
D1_0004,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,944.0,840.0,104.0,26.66226805374814
D1_0098,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,0.5,0.0,-0.0006902094313022566,0.0008459136314443113,0.00027689035797599603,0.0005574639754658336,-0.0002162380722688806,0.0008135818590179499,1.0397400360737985,0.6851971553774951,1.7249371914512936,0.0,0.0008135818590179499,0.0008135818590179499,0.0,945.0,840.0,105.0,26.631112408505043
D1_0099,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,1.0,0.0,-0.0013676525373678612,0.0016766393325509258,0.0005542770573273426,0.0011221497287508071,-0.0004336044684857622,0.0016275817411062663,1.0301413994797675,0.6894582928830859,1.7195996923628536,0.0,0.0016275817411062663,0.0016275817411062663,0.0,945.0,840.0,105.0,26.60301746641943
D1_0100,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,2.0,0.0,-0.0026837170921752626,0.0032919684025280362,0.0011102528914907228,0.0022728903400675887,-0.0008715715388796708,0.0032565169079733594,1.0108863228893044,0.697951340127414,1.7088376630167181,-1.0,0.001848597696036419,0.0032565169079733594,0.4323389841734726,946.0,840.0,106.0,26.539415797320853
D1_0101,front_gap_on_background,anchor_04_front5,D1_0004,700.0,5.0,20.0,3.0,0.0,-0.003947217633731272,0.00484496940892331,0.0016673699009828319,0.0034515738607479403,-0.001313599897615807,0.004886170725621972,0.9915677697296553,0.7063964921750829,1.6979642619047381,-1.0,0.0030172914563898843,0.004886170725621972,0.3824834157824466,946.0,840.0,106.0,26.479576979125408
