Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
586.0,0.04193131469631514,0.9580686853036848,0.08027543912200684,0.11586465117156669,0.0,0.0,0.0
587.0,0.04193131469631514,0.9580686853036848,0.08024904329248997,0.11584025864577285,0.0,0.0,0.0
588.0,0.04193131469631514,0.9580686853036848,0.0801869606406782,0.11578288795213855,0.0,0.0,0.0
589.0,0.04193131469631514,0.9580686853036848,0.08011556589824523,0.11571691230880214,0.0,0.0,0.0
590.0,0.04193131469631514,0.9580686853036848,0.08008625807703043,0.11568982916372425,0.0,0.0,0.0
591.0,0.04193131469631514,0.9580686853036848,0.08012453163093308,0.11572519749071115,0.0,0.0,0.0
592.0,0.04193131469631514,0.9580686853036848,0.08019193559640243,0.11578748530690039,0.0,0.0,0.0
593.0,0.04193131469631514,0.9580686853036848,0.08023800933013055,0.11583006211880095,0.0,0.0,0.0
594.0,0.04193131469631514,0.9580686853036848,0.08021653283591752,0.11581021563520406,0.0,0.0,0.0
595.0,0.04193131469631514,0.9580686853036848,0.08010003226789458,0.11570255778530851,0.0,0.0,0.0
596.0,0.04193131469631514,0.9580686853036848,0.07991509489453143,0.1155316598419108,0.0,0.0,0.0
597.0,0.04193131469631514,0.9580686853036848,0.07971806186972108,0.11534958740850568,0.0,0.0,0.0
598.0,0.04193131469631514,0.9580686853036848,0.07959010409376098,0.11523134700125146,0.0,0.0,0.0
599.0,0.04193131469631514,0.9580686853036848,0.07955767007199899,0.11520137628603085,0.0,0.0,0.0
600.0,0.04193131469631514,0.9580686853036848,0.0794652460350815,0.11511597213974493,0.0,0.0,0.0
601.0,0.04193131469631514,0.9580686853036848,0.07917448701917693,0.11484730149905319,0.0,0.0,0.0
602.0,0.04193131469631514,0.9580686853036848,0.07883240290977275,0.11453121324429959,0.0,0.0,0.0
603.0,0.04193131469631514,0.9580686853036848,0.07863016517444503,0.11434434835584267,0.0,0.0,0.0
604.0,0.04193131469631514,0.9580686853036848,0.07853906007433835,0.11426016953409063,0.0,0.0,0.0
605.0,0.04193131469631514,0.9580686853036848,0.0784720515217831,0.11419825572823358,0.0,0.0,0.0
